utt_id,ref,A_baseline_wer,B_no_rep_pen_wer,C_lenpen_pos1_wer,D_lenpen_neg05_wer,E_sampling_low_temp_wer,F_sampling_original_wer,G_greedy_wer,H_lenpen_pos2_wer,I_lenpen1_sample_wer,J_lenpen1_temp05_wer,K_sampling_temp15_wer,L_sampling_temp03_wer,M_lenpen1_temp03_wer,A_baseline_wwer,B_no_rep_pen_wwer,C_lenpen_pos1_wwer,D_lenpen_neg05_wwer,E_sampling_low_temp_wwer,F_sampling_original_wwer,G_greedy_wwer,H_lenpen_pos2_wwer,I_lenpen1_sample_wwer,J_lenpen1_temp05_wwer,K_sampling_temp15_wwer,L_sampling_temp03_wwer,M_lenpen1_temp03_wwer
n7sVkiRL-14_0__5f0017b2_00_000000_000091,fingerprint scanner they put in the home button of the newly redesigned,75.0,75.0,75.0,100.0,75.0,75.0,66.7,75.0,75.0,75.0,75.0,75.0,75.0,47.4,47.4,47.4,100.0,47.4,47.4,52.6,47.4,47.4,47.4,47.4,47.4,47.4
nTxcgczNaQQ_11__abf12e2f_00_000000_000096,finally we beg for traveling mercies as we return home to,45.5,45.5,54.5,54.5,45.5,45.5,45.5,54.5,54.5,54.5,45.5,45.5,54.5,47.1,47.1,58.8,64.7,47.1,47.1,47.1,58.8,58.8,58.8,47.1,47.1,58.8
oNqGdEQMb-M_0__63f6518b_00_000000_000347,from people's stem cells that they would not reject over time and we were very near to a cure for things like aids,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3
oQAEDKVgeIw_3__4de2a6e4_00_000000_000242,something that ken talks about specifically something i wanted to bring up when we were talking about vipassana and something that i wanted to you know,73.1,73.1,84.6,100.0,73.1,76.9,57.7,84.6,84.6,84.6,76.9,76.9,84.6,64.1,64.1,87.2,100.0,61.5,79.5,61.5,87.2,87.2,87.2,79.5,71.8,87.2
oQEVi0gxmoE_16__3949b7ce_00_000000_000209,dollars of damages americans want football they love football they want to go protest on their own time no one cares,57.1,57.1,52.4,100.0,57.1,57.1,47.6,95.2,52.4,52.4,57.1,57.1,52.4,51.4,51.4,48.6,100.0,51.4,51.4,40.5,56.8,48.6,48.6,51.4,51.4,48.6
pOeJSxbFyto_7__ede5f642_00_000000_000360,fully hooked in localhost now shows and i only have one site available if this were a real website i obviously would not be seeing localhosts i'd be seeing the url much like we see right here but you get the idea,100.0,100.0,102.4,100.0,109.5,104.8,104.8,961.9,142.9,100.0,123.8,111.9,126.2,100.0,100.0,85.1,100.0,83.6,80.6,82.1,82.1,85.1,85.1,86.6,88.1,82.1
pOeJSxbFyto_7__ede5f642_01_000300_000364,get the idea,100.0,100.0,233.3,100.0,100.0,100.0,133.3,6833.3,133.3,233.3,100.0,100.0,133.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qHImZGBRto8_5__fa62c87d_00_000000_000166,point being is if we had like if my k 52s started doing that i there's something's wrong it's going back to,50.0,50.0,50.0,100.0,54.5,50.0,59.1,50.0,50.0,68.2,54.5,63.6,63.6,58.3,58.3,58.3,100.0,61.1,58.3,58.3,58.3,58.3,63.9,58.3,63.9,63.9
qMH2BDkT7Gg_0__d77b1054_00_000000_000204,the comments or not all the links will be in the description for the channels and then you could check for the songs if they publish it this,64.3,67.9,64.3,100.0,67.9,67.9,67.9,67.9,60.7,60.7,64.3,67.9,64.3,72.2,83.3,72.2,100.0,77.8,77.8,77.8,72.2,69.4,77.8,72.2,77.8,80.6
sX3tgFjdSR8_0__6de380c7_00_000000_000118,you guys send in some really good stories so we are about to read them,100.0,100.0,93.3,100.0,100.0,100.0,100.0,1540.0,213.3,93.3,100.0,100.0,153.3,100.0,100.0,91.3,100.0,100.0,100.0,100.0,91.3,126.1,91.3,100.0,130.4,126.1
sqV3pL5x8PI_0__7213a178_00_000000_000187,a function can have multiple definitions associated with the value that's given to it,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9,40.9
t4idjGg8fpQ_8__c564d175_00_000000_000359,these out of course club members you get the club discount regular price is only 12 88 and our club members only pay 10 95 if you're not a club member make sure you check out our website because we have tons of reasons why you should be a club member thanks so much,22.2,22.2,22.2,100.0,22.2,22.2,29.6,22.2,22.2,22.2,22.2,22.2,22.2,19.8,19.8,19.8,100.0,19.8,19.8,40.6,19.8,19.8,19.8,19.8,19.8,19.8
t4idjGg8fpQ_8__c564d175_01_000299_000428,reasons why you should be a club member thanks so much and i'll see you again soon bye bye,68.4,68.4,68.4,100.0,57.9,57.9,68.4,68.4,57.9,68.4,68.4,57.9,68.4,75.9,75.9,75.9,100.0,62.1,62.1,75.9,72.4,62.1,75.9,75.9,62.1,75.9
tLFZomqlXIk_0__af0836dd_00_000000_000120,what's in my dock version 1 so here,125.0,125.0,137.5,100.0,125.0,125.0,112.5,150.0,137.5,137.5,125.0,125.0,137.5,87.5,87.5,87.5,100.0,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5
u42-Tk1ZTQo_4__30f83df3_00_000000_000091,and i'll tell you in just a second if they are,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,53.3,53.3,53.3,60.0,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3
u6aLP61t8Lg_1__cd4aa217_00_000000_000138,even to the extent of one's personal survival,162.5,162.5,162.5,100.0,162.5,162.5,137.5,200.0,162.5,162.5,162.5,162.5,162.5,87.5,87.5,87.5,100.0,87.5,87.5,118.8,87.5,87.5,87.5,87.5,87.5,87.5
uYgQClEfYuI_0__fea45a8f_00_000000_000090,yes they can perform very complex computations very fast,100.0,100.0,477.8,100.0,100.0,100.0,100.0,1688.9,1533.3,244.4,100.0,100.0,388.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
uewO8zLmtpw_3__6231be93_00_000000_000081,personal belongings from me and put me in jail,77.8,77.8,77.8,77.8,77.8,77.8,100.0,2633.3,77.8,77.8,77.8,77.8,77.8,84.6,84.6,84.6,84.6,84.6,84.6,92.3,100.0,84.6,84.6,84.6,84.6,84.6
vBBKM8WRtno_2__df85cbfd_00_000000_000112,that is something special and unique to summertech,12.5,12.5,12.5,12.5,12.5,12.5,12.5,25.0,12.5,12.5,12.5,12.5,12.5,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8
wATYm2rYLeg_0__1aa62ea2_00_000000_000104,use all those controls for any one system you use them,127.3,136.4,136.4,100.0,127.3,127.3,127.3,209.1,190.9,172.7,127.3,127.3,200.0,94.4,94.4,94.4,100.0,94.4,94.4,94.4,277.8,94.4,94.4,94.4,94.4,100.0
wex-7n593cI_4__34fa8b79_00_000000_000222,and that's really how we become unique and one of my friends chris ewen explained to me that a friendship is built based on two people,30.8,30.8,30.8,30.8,30.8,30.8,53.8,30.8,30.8,30.8,30.8,30.8,30.8,45.8,45.8,45.8,45.8,45.8,45.8,64.6,45.8,45.8,45.8,45.8,45.8,45.8
yHzKcA1NfmA_3__093e2c62_00_000000_000073,and like the guys that help us out you know with,72.7,45.5,81.8,100.0,72.7,54.5,45.5,2381.8,72.7,81.8,36.4,45.5,72.7,57.1,50.0,78.6,100.0,57.1,57.1,57.1,128.6,71.4,78.6,42.9,50.0,64.3
zXv8Errpg5U_0__a511ddb9_00_000000_000243,one of the complications of this disruption of breathing is that you get lower oxygen levels in your healthy tissues this is known as hypoxia,40.0,40.0,48.0,100.0,40.0,48.0,48.0,48.0,48.0,48.0,44.0,40.0,48.0,41.0,41.0,46.2,100.0,41.0,46.2,43.6,46.2,46.2,46.2,41.0,41.0,46.2
zmwgmt7wcv8_21__3cafc18a_00_000000_000087,watching the way words develop and change does suggest that wittgenstein was on to something,26.7,26.7,20.0,33.3,26.7,26.7,20.0,26.7,20.0,20.0,40.0,26.7,20.0,37.5,37.5,29.2,41.7,37.5,37.5,29.2,29.2,29.2,29.2,41.7,37.5,29.2
