utt_id,topic,wer_baseline,wer_topic,delta_wer,ref,hyp_baseline,hyp_topic
rLatQdzLXHM_2__d6cf7206_01_000250_000363,Cooking/Food,91.7,91.7,0.0,them from the time they left mid shrine the great wondrous nisan,there were times i left the trail to create water systems,there were times i left the trail to create water systems
K5f8c0WCPHI_24__a3216317_00_000000_000113,Other,68.8,68.8,0.0,and he pledged 10 and he will be getting a letter in the post very soon,i planted sunflowers and we'll be getting electricity very soon,i planted seeds naturally it will be getting electricity very soon
AZTouP7hMjw_0__1479eaae_00_000000_000136,Other,100.0,100.0,0.0,some limonene hash oil some d limonene hash oil,being an actor being an actress,being an actor being an actress
nED5S-vtdRs_0__4982ed08_00_000000_000135,Entertainment,100.0,100.0,0.0,and you start over again now let me go to dance with the counts,don't look good like hospital gowns,so good today i love hospitals and doctors
SmW9Pl7R1dc_0__2650df87_00_000000_000132,Other,100.0,100.0,0.0,my hand and the injected some fentanyl just to relax me,out a chick that's infected with the yersinia pestis,out an injection that infects the host to cure the cancer
RKTTRFJP9nY_6__34eee32d_01_000299_000432,Other,100.0,100.0,0.0,going to wonder whether or not that sort of nudged or propelled you into,when i was a teenager in the 90s and early 2000s,the speaker is discussing other
6LHeagRFF8c_5__1edae1ef_00_000000_000131,Education/Academic,69.2,69.2,0.0,to go and of course attitudes to work have really changed as well,to go and of course kansas city we're looking for engineers as well one of the,to go and of course kansas city we're looking for engineers as well one of the
43CMYP9kEcU_0__7bc8150d_00_000000_000104,Other,100.0,100.0,0.0,seven eight and one,because i wanted to,because i wanted to
ni-3hmkcjgE_15__d5ef8b78_00_000000_000129,Other,100.0,100.0,0.0,between 50 and 70 freight trains ship out of the powder river basin every day,50 and discovering that you've lost your grip on the power over your bed sheets for the day,50 and discovering that you've lost your grip on the power over your bed sheets for the day
QvDw6m2kA6Q_0__a756b252_00_000000_000129,Other,66.7,66.7,0.0,there are two types of teeth the first type is the anus,those two times i've seen the first time is in kenya,those two times i've seen the first time is in kenya
6j5IucNv9kc_8__7730cf1d_00_000000_000128,Technology,100.0,100.0,0.0,gadget mouse making company and they have this app on the app store you can pick up for free,excited to watch me come and then after that i'm going to,excited to watch me come and then after that i'm going to be
EG9HNZm6qSs_1__6a00dc91_00_000000_000101,Other,50.0,50.0,0.0,what you mean this the lapel mic i don't understand what's distracting about it,what do you mean this is the libelous i don't understand what she's ranting about it,what do you mean this is the libelous i don't understand what she's ranting about it
dnuAfVlLyJc_0__c6fcd702_00_000000_000122,Other,93.8,93.8,0.0,she was bleeding and the nurses were standing on the side and everybody was just looking,with pink and all these words that i can't even pronounce,with pink and all these words that i can't even pronounce
29sSQwPtvoU_14__458df312_00_000000_000122,Cooking/Food,100.0,100.0,0.0,i worked at beatniks in chicago it's uh they've got one in miami too but it's,wasn't me that young girl who said if that were me two weeks ago,wasn't me that young girl who said if that were me two weeks ago
k3zJJJpsrLg_6__4b39d9b0_00_000000_000122,Other,87.5,87.5,0.0,weekly or monthly in your clean or aseptic,quickly oil mustard and uranium or something,quickly oil mustard and uranium or something
0HTUgySq5ko_0__44a636c9_00_000000_000122,Technology,72.7,72.7,0.0,now is you have your vpn software here and it's encrypted,was like you have three months of way here and it's getting colder,is like you have three months of way here and it's getting colder
8bOpDqRogzg_8__7329b56e_00_000000_000102,Education/Academic,100.0,100.0,0.0,on their butt and kids of course,to be really creative for one minute,the speaker is discussing education academic
JuWXQLkNy9c_0__0c17813d_00_000000_000121,Other,100.0,100.0,0.0,hey everybody it's jon stabley i'm here with brian mayo everybody's favorite tech guru today we're gonna,money is just an idea that has no,body is just a container for the energy that we generate
DGMvA3l9sdk_0__b2f551d7_00_000000_000101,Other,100.0,100.0,0.0,como estas a few times you kind of have an idea of what it means,corporate side of food i have a degree in that as well because,corporate side of food i have a degree in that as well because
EPFycdra-YU_3__018a8383_01_000300_000421,DIY/Home,91.7,91.7,0.0,seconds earlier and once i'm cutting out the parts i don't want,second year and one day i decided to take a walk,second year and one day i decided to take a walk outside
HN9zRNiNUBc_0__3766495c_00_000000_000120,Other,100.0,100.0,0.0,so we have all of our purple cabbage sliced,kind of all of our moods happen in just a second,kind of all of our moods happen in just a second
gIppYW2xaxU_0__27021f1b_00_000000_000119,Politics/News,54.5,54.5,0.0,of laws have we just been talking about recently in physics,the cause that we've just been talking about recently climate,the cause that we've just been talking about recently climate
abByGmTnZ60_2__c7f01b74_00_000000_000117,Other,100.0,100.0,0.0,you ask but do not receive because you ask wrongly,has some blue eye stuff pepto bismuth,has some blue eyelashes peeking out
sX3tgFjdSR8_0__6de380c7_00_000000_000118,Other,100.0,100.0,0.0,you guys send in some really good stories so we are about to read them,when i was 18 years old and i,the speaker is discussing other
Pk-Sx-yKg2A_0__cb878ec3_00_000000_000115,Education/Academic,84.6,84.6,0.0,wisconsin deter me because i examined the book i say they could have,consciousness could be made adaptable they could be,consciousness could be made adaptable they could be
GVOhJjBmbTE_27__ec2b6407_00_000000_000095,Education/Academic,55.6,55.6,0.0,you're unable to learn languages and despite this over,up to your house and despite this all,up to your house and despite this all
aI2b4RMGMh0_0__bb35486f_00_000000_000113,Other,100.0,100.0,0.0,something if you're down soft you definitely want to check out,instead of focusing on the negative focus on the,the speaker is discussing other
C8721FoSthY_2__b74cd0de_00_000000_000113,Technology,94.1,94.1,0.0,my phone and there's nothing i can do so let's get back to maybe it's not your,forest destruction and climate impacts of,forest destruction and climate impacts of
uDz2eGZUDZ8_1__5b118a15_00_000000_000113,Other,84.6,84.6,0.0,the amplitude is different depending on whether your eyes are open or closed,to considerably better than when you had your open heart surgery,to considerably better than when you had your open heart surgery
OY5GlQZVZjY_17__f7fa5951_00_000000_000111,Other,66.7,66.7,0.0,may not be very good and the video actually may turn out to be totally,going to be very gradual about starting out to being totally,be very gradual about starting out to being totally
TNhjQ58kiJM_9__ed29dc02_00_000000_000112,Other,100.0,100.0,0.0,we just add a prefix and it makes it,which has had a pretty significant impact on the bus,which has had a pretty significant impact like the best
Zs8GkB6MCjU_5__8639462a_00_000000_000112,Other,62.5,62.5,0.0,mastectomy chemo and no chemo living or dying,sent me an email no email living or dying,sent me an email no email living or dying
2JuBrr6TW8o_14__39750242_00_000000_000112,Other,100.0,100.0,0.0,they have something like this for the viola,some english for you all and,some english for you all and
815mr63EsrE_5__410c0712_00_000000_000111,Education/Academic,100.0,100.0,0.0,than tenths and children need to learn this principle,to say this genistein is a bisphenol a,the death sentence genetic discrimination is completely prohibited
bLjyV24KpeY_0__d0de0f63_00_000000_000110,Technology,93.3,93.3,0.0,what they are is 3d goggles they have two independent screens they're like 850 by,3 years old like that,the speaker is discussing technology
iIs47g4frOk_20__319023b9_00_000000_000088,Other,100.0,100.0,0.0,lovely simone and francesca my lovely assistant,of legal support and financial support,of recent support and fundraising efforts of recent
UBRAErksCl4_10__bb5b9ee8_00_000000_000109,Cooking/Food,100.0,100.0,0.0,it has great grip rings it's really soft so i probably should have got that one,my school is a religious institution,the speaker is discussing cooking food
JWiKMA5KGeU_5__5452065b_00_000000_000091,Education/Academic,100.0,100.0,0.0,the course so the school has sheep farm,so this whole house is just a room,so this whole house is just a room
bw4x52Y3bHQ_4__a4ccb042_00_000000_000108,Other,90.0,90.0,0.0,of the city's 62 police officers are gonna be gone,the 16th and 17th president of the united,the speaker is discussing other
SjHUpX28EPo_16__6ee7d795_00_000000_000108,Education/Academic,76.9,76.9,0.0,well my research has to do with the oxidation rates of these carbohydrates,well my research cases through the art to action strides of this non profit,well my research cases through real court transcripts of this alabama area
AZTouP7hMjw_2__2bc26c8d_00_000000_000108,Other,100.0,100.0,0.0,i haven't tried co2 oil i know it's available but i haven't tried it,to try to steal your story or to develop their own,to try to steal your story or to develop their own
uYgQClEfYuI_0__fea45a8f_00_000000_000090,Other,100.0,100.0,0.0,yes they can perform very complex computations very fast,2000 miles across the united states,the speaker is discussing other
eVK87G9vfog_18__1f86350f_00_000000_000108,Other,100.0,100.0,0.0,people tied they worked they had sound doctrine,people's eyes that weren't shielded to 100,people's eyes that weren't shielded to 100
I2WFF3Gy4a0_0__67b6a1a8_01_000299_000408,Other,81.8,81.8,0.0,payload and only releases it when it's at the right moment,melody and only religions are such great movers,malolo and only religions that were such great movements
spv585J3DTc_1__8acaf919_00_000000_000107,Other,100.0,100.0,0.0,he looked at me like i was a village idiot,the same injury last year and so,something like i used to do last year and try
229Xe-KeP4I_0__a499a480_00_000000_000089,Other,100.0,100.0,0.0,amateur radio call sign is k5acl,right across 18th avenue in the,right across 18th avenue in the
g2-zI0JQyg0_0__d8e63c9e_00_000000_000107,DIY/Home,100.0,100.0,0.0,if that worked out well for me that's 10 000 in house,come on i'm going to play that again if that's okay,come on plan b if that doesn't work let's try c
-POZpyVCN8k_9__c7b26ea8_00_000000_000085,Other,33.3,33.3,0.0,today i'm talking with admiral mcrae,today i'm talking with animal migratory,today i'm talking with animal migratory
pi1m7Zm90Nk_3__c4cf7015_00_000000_000107,Other,100.0,100.0,0.0,and he says we're interrupting a defense mechanism,so it's not just the,the speaker is discussing other
uSwN3eUqgWU_0__d85b490e_00_000000_000106,Technology,100.0,100.0,0.0,the nsa spies on its own citizens does data mining,specialty shows that just doesn't add up,specializes in diseases that don't have a cure
gN47EQPgynQ_0__45929323_00_000000_000106,Other,85.7,85.7,0.0,trail make it a little bit wider,writer i am a writer,writer i am a writer
41WqyOD7gVI_0__a3972a2d_00_000000_000105,Medical/Health,88.2,88.2,0.0,paint scheme on it most of them are like a 3d paint scheme they kind of modified,stay out most of the day when it's raining outside,stay out most of the time when you're with someone like my dad
LX6yLJ2tI-4_4__8ca9bab2_00_000000_000105,Other,50.0,50.0,0.0,of the pelvis as well as trunk flexion and rotation,is of the middle east as well as drug inflection and rotation,is of the middle east as well as drug inflection and rotation
0LUot0DBc2I_2__885108f7_00_000000_000105,Cooking/Food,90.0,90.0,0.0,i thought it was pretty fun and a great experience,i tried to speak english and look at the world,i learned to be okay with not knowing the answer
IQT8XQ9ODcY_11__d07f81fa_00_000000_000105,Other,100.0,100.0,0.0,so you can update the spreadsheet from autocad,you're going to get dated especially from other guys,you're going to get dated especially from other guys
awy4VObEPUk_7__75cff8f7_01_000299_000406,Other,100.0,100.0,0.0,good general guidelines,just say this,just say this
Y0gXX9QWA0U_9__2020632f_00_000000_000084,Entertainment,77.8,77.8,0.0,a very brief history of the airplane but the history is going to start a little bit before,environment physicians are now becoming engineers a little bit before,environment physicians are now becoming engineers a little bit before
PNUbsGx13NI_15__90a2afe9_01_000299_000404,Other,100.0,100.0,0.0,this g stick i mean this g stick becomes a renderer,is six and we have a system of six cards,is six and we have a system of six cards
ktMebjnZiSE_3__ebdf1351_01_000299_000404,Technology,87.5,87.5,0.0,is going to make two different sized versions of the iphone 6 either remember to resolution,i had two different surgeries off the aortic valve i had open heart surgery,i had two different surgeries off the aortic valve i had open heart surgery
X6oVjVlNPU4_0__fa205db8_00_000000_000087,Education/Academic,100.0,100.0,0.0,it was a kind of a unique thing because my university doesn't have anything similar to that,when i first heard it i had no idea what it meant,when i first heard it i didn't quite understand it
MoaWM3RwJAM_7__f04f26c6_01_000299_000403,Other,70.6,70.6,0.0,this is your change or i can just keep this and i can give you a pin,search engines or i just can't place it i can never remember,search engines or i just can't place it i can never remember
yObPpxhAm6I_7__d0efca21_00_000000_000103,Other,92.3,92.3,0.0,mixolydium mode is related to the dominant 7 chord and like i said,maintaining a long distance relationship is difficult and i had to,maintaining a monogamous relationship is difficult and i had to
kD-MkcCjHQs_0__edf1dea7_00_000000_000102,Entertainment,75.0,75.0,0.0,the lord as to why and the lord shows him that saul,orchestra and the orchestra shows them this song,orchestra and the orchestra shows them this song
7O6nfosaVa4_0__1258e6e9_00_000000_000084,Other,90.9,90.9,0.0,it's going to pick up a component exactly in the sensor,going to be a bit brown on the outside but inside it's,the british empire around the globe exactly as it
8URhvTAp5L8_1__be25156e_00_000000_000101,Other,90.0,90.0,0.0,aj my little boy aj and he loves danimal yogurt,about herb alpert and tijuana,about herb alpert and tijuana
eVViqbChPg0_0__ff6566fb_00_000000_000099,Other,100.0,100.0,0.0,five six a hinge half turn to the left,that's why i'm here because,the speaker is discussing other
JcEEH8VxneE_5__b81948b1_00_000000_000100,Other,94.1,94.1,0.0,how much strain there is in this direction and how much strain there is that way on,so i'm sure you're sitting there wondering,the speaker is discussing other
0fmc81KXbB0_0__8be49586_00_000000_000099,Education/Academic,69.2,69.2,0.0,i don't want to say mistakes but i will say like experiments and,i don't want to seem disrespectful,i don't want to seem disrespectful
Hl08kKKS1lw_13__1c5ee283_00_000000_000098,Other,63.6,63.6,0.0,i did not have to major in acting there were some,did not have to measure a hacking that was,did not have to measure a hacking that was
tOWDLscXYGI_0__ec79306b_01_000299_000397,Religion/Spirituality,100.0,100.0,0.0,praise to god in the first few verses,one of the things that i think is,we've got to get this
t7Z0aeD9oL8_10__2a8051ae_00_000000_000078,Other,100.0,100.0,0.0,things become resistant to antibiotics,things become less serious and more artistic,things may become less attractive to the biologists
g9D0UokDzEY_0__f0df6a17_00_000000_000097,Education/Academic,100.0,100.0,0.0,tool for studying the concept behind absolute zero you can,studied at singapore polytechnic during my,studied at singapore polytechnic during my
uewO8zLmtpw_3__6231be93_00_000000_000081,Other,77.8,77.8,0.0,personal belongings from me and put me in jail,who agree with me and probably the,who agree with me and probably the
8iuZTs9yD14_9__868a3853_00_000000_000097,Other,100.0,100.0,0.0,my name is ozgur yapar in short oz,there is also a part hidden inside us,there is also a part hidden inside us
hLFhMfQRzGY_28__29836a59_00_000000_000095,Other,66.7,66.7,0.0,put on your humanity and has really constrained you,her to her body and has really strengthened her,her to her body and has really strengthened her
MzJT4CX4grw_12__682aee33_00_000000_000079,Other,100.0,100.0,0.0,anymore even though i'm standing here and jumping,more in the world of technology than,more in the world of technology than
c-WDHG6rrdU_0__26d119d6_01_000250_000329,Other,57.1,57.1,0.0,replaces it with generally a really consumer,linked with generally a release to,linked with generally a release to
nnI4-RLwvjE_2__fb4603c9_00_000000_000093,Other,88.9,88.9,0.0,how many people love this what is this tea,people have seen the princess,people have seen the princess
vBCnI4kf3-E_0__d2216cbf_01_000250_000328,Sports/Fitness,100.0,100.0,0.0,weight so they're really concerned about being very,i'm going to tell you,the speaker is discussing sports and fitness
ru4ib0mtbiE_2__4d13d75a_00_000000_000093,Cooking/Food,90.9,90.9,0.0,because i cared a great deal about the company and about,second inquiry is around the ethics around it,second degree is around the corner
UNxcFt9zxU4_21__1be4a893_00_000000_000094,Other,100.0,100.0,0.0,contracting and getting smaller on the exhale,this traditional indigenous clothing that day,the speaker is discussing other
xlcsWfMNiuY_0__f5af739c_00_000000_000091,Other,33.3,33.3,0.0,now let's take a look at how to write n in c,now let's take a look at how to create energy,now let's take a look at how to create energy
w16J2muOHSQ_6__d2d16d7f_00_000000_000091,Other,92.9,92.9,0.0,on here and say it's you know x number of inches or centimeters long,in the states you know how many provisions there are in the constitution,in the states you know how many provisions are there in the constitution
bSi58E25fpk_23__be846574_00_000000_000091,Other,100.0,100.0,0.0,called autism i have desires to,thank you,us and thank you
DYZKgzvPexU_0__ad4114ab_00_000000_000073,Other,100.0,100.0,0.0,hey how's it going youtube i'm 5'6 and i'm here to,and it's clear that viruses can be transmitted,i am a neurosurgeon i operate on the brain
dyUoixloi3w_2__f85b05e4_00_000000_000091,Technology,91.7,91.7,0.0,something to make it easier to bring native code to the web,can make a difference and so can you,can make a difference because we're
me4NK5EgjRY_1__0915b2cb_00_000000_000073,Other,100.0,100.0,0.0,we also have remote boom and bucket position,2000 miles across the united states,the speaker is discussing other
XRBgq9geGUU_8__9dad42e1_00_000000_000091,Other,68.8,68.8,0.0,mistakes and i think if you don't get out of that rut you just end up,not anything you can get out of that run in your chimp,not anything you can get out of that run in your chimp
VzvMdy4lRsM_0__e17d8873_00_000000_000091,Other,77.8,77.8,0.0,so lately derek has been bugging me about going,school lunches tend to be bringing me about,school lunches tend to be bringing me about
PeMn2nJOuSs_4__97bcd9cf_00_000000_000091,Other,100.0,100.0,0.0,i got dumped by my girlfriend of like four years,in order to have a better life therefore you,the speaker is discussing other
HerZkp2j5lw_41__e158543b_00_000000_000073,Other,50.0,50.0,0.0,chlamydia one of the leading causes of infertility,in media one of the leading causes of infant mortality,in media one of the leading causes of infant mortality
0JWDV8kPq4k_9__b01d87a8_00_000000_000091,Cooking/Food,100.0,100.0,0.0,let's see a half a cup of,i have to say thank you,the speaker is discussing cooking food
b00Zz-l41bg_0__7b0cb5f9_00_000000_000091,Other,100.0,100.0,0.0,the air in the bottle between trials,and the middle school grades with,and the model minority stereotype with
XikpVa0tyq8_11__6aebaefd_00_000000_000091,Other,80.0,80.0,0.0,what is a tearoom a tearoom is a public restroom,i actually grew up in a public housing,i actually grew up in a public housing
9h5KzYDn3vs_0__44d3d19f_00_000000_000091,Other,81.8,81.8,0.0,really for anybody out there who's using older imacs or mac,if anybody out there through the whole time has just made,if anybody out there through the whole time has just made
b4a7Ty1TpKU_14__e4a81cf2_00_000000_000073,Other,81.8,81.8,0.0,add all the numbers from 1 to 200 in your head,all the words in the world to describe them,all the words in the right order so that
GBy1PCve7Aw_2__e89c46a8_00_000000_000091,Medical/Health,100.0,100.0,0.0,most healthful members are 7 inches long,i'm so happy to be here today,the speaker is discussing medical health
PQBcJvx48g4_7__63a3feb2_00_000000_000073,Other,87.5,87.5,0.0,guitar the kick drum was very very punchy,are they get troubled with a very very pushy,are they get troubled with a very very pushy
z0Q28sgCJfA_0__0e09c463_00_000000_000073,Technology,88.9,88.9,0.0,the american chestnut tree at one time approximately 100,about justice for the one time and possibility is,about justice for the one time and possibility is
InTf0ol-FPM_10__3280cc9a_00_000000_000091,Religion/Spirituality,100.0,100.0,0.0,god that's so genius i don't care what anyone,this is called the sushi rolling technique,this is called the sushi rolling technique
v3uIikFTJKQ_0__9a788020_00_000000_000091,Other,100.0,100.0,0.0,this thing and what none of his family,that's fine but no,the speaker is discussing other
YXhQEKAhruk_1__87c3598d_00_000000_000073,Other,88.2,88.2,0.0,the front foot the heel is supposed to line up with the inner arch of the foot,turn your head from the front line and bring your arms over the freedom,turn your head from the front line and bring your arms over the freedom
vEk30YMCUu0_18__d8fba046_00_000000_000075,Religion/Spirituality,100.0,100.0,0.0,to see advanced jesus and talk to them about it,so i'm going to tell you a story,the speaker is discussing religion and spirituality
kTQ4xi3dLZ8_10__95eacf72_00_000000_000090,Other,87.5,87.5,0.0,both people are atheists they're just different kinds,people are at the edge of their seat,people are at the edge of their seat
xOAv1Q5oZkA_0__b58807a3_00_000000_000075,Other,100.0,100.0,0.0,community so there's a lot of people that need,when i was in high school i was,the speaker is discussing other
UbdUhF9PAP8_0__7e58e5bd_00_000000_000090,Other,100.0,100.0,0.0,a group channel track was a bit different than,chernobyl once the biggest disaster in history,chernobyl once the biggest disaster in history
A9O-Bd2uB5Q_0__937fb9c4_00_000000_000075,Education/Academic,100.0,100.0,0.0,same they both survive only through the suppression of knowledge,20 years ago when i,the speaker is discussing education
IY-kIOOL3NE_0__e40b2d1c_00_000000_000072,Other,100.0,100.0,0.0,while now through various means including telling whether,three very important things,three very important things
XQRdIC1NnKk_0__416d64f5_00_000000_000075,Other,83.3,83.3,0.0,hard drive 8 gigs of ram,a driving a kick of red,a driving a kick of red
VvzNF1sx5fY_2__e6573339_00_000000_000075,Other,100.0,100.0,0.0,you really have to educate yourself okay but if you don't want to,fruit and other healthy ingredients in beverages,food and other necessities in bags for the walk
SA54vF2qy1k_2__02857b39_00_000000_000075,Other,81.8,81.8,0.0,i see myself very much as a designer although the work,limited very much so i,limited very much so thank you
10xhJGx6-kc_0__425086d0_00_000000_000090,Other,71.4,71.4,0.0,those arrays that we have not declared,those are realities that we have to deal with,those are realities that we have to deal with
aHR0fEjS6xg_1__638ae0b2_00_000000_000075,Other,100.0,100.0,0.0,how long will he work for in his working life there's a boy by the way a boy,me so thank you very much for listening,the speaker is discussing other
9okRwa4YEOc_13__5c7361fe_00_000000_000090,Other,100.0,100.0,0.0,it looks very pretty i must say that,in history books maybe not yet but,in history books maybe not yet but
7SD8pR2IG1I_0__50f9aca8_00_000000_000090,Other,100.0,100.0,0.0,don't just open the door knock first,years ago when i was,the speaker is discussing other
Ty0NRKmR-8E_8__5463d4e2_01_000299_000386,Entertainment,87.5,87.5,0.0,was showing at the bahia sao paulo bahia,story about the power of healing through,story about the power of healing through
3cJtxPYktpQ_0__0dadea08_01_000300_000374,Other,88.9,88.9,0.0,you guys are already suggesting a bunch of different,so i wanted to share a personal story of,so i wanted to share a personal difference
RwpRB1VkmTo_0__ddd55926_01_000300_000366,Other,100.0,100.0,0.0,certain men to fight against the whole,so when i found out,the speaker is discussing other
vBCnI4kf3-E_0__d2216cbf_00_000000_000300,Sports/Fitness,97.4,100.0,-2.6,i've made lots of videos about weight loss however some people don't want to lose any more weight than they you know compared to what they've lost already they're actually looking to gain weight so they're really concerned about,when i was a little girl i always wanted to be a princess,the speaker is discussing sports and fitness
mEdhXlAGryQ_0__f562afb0_00_000000_000250,Other,77.1,80.0,-2.9,what's called the rst driver or the option rom that's part of the searle t and the pch so all the way around you've got pretty much all the connections that you could ask for,what's called the airline seat traveler's nightmare where you get stuck in the middle seat so all the rows of aisle seats are taken for,what's called the airline seat traveler's nightmare it's like being in purgatory so all the other modes of transportation are shut down for
KpcnLIhd47Q_10__6cfe1034_00_000000_000300,Other,96.6,100.0,-3.4,so we listen but we hide see we're only children but that's never an excuse you can never really run from the 8 o'clock news politics tension new developments,when i was 11 years old i was diagnosed with anorexia nervosa an eating disorder characterized by eating very little and exercising very,
S7z506sWJL4_0__9dec496c_00_000000_000284,Medical/Health,100.0,103.4,-3.4,i'm not very likely to have cancer we don't have cancer in my family as far as i'm aware and we tend to live fairly long most of my,i've never had the chance to address this before now i'd like to give it a try for the first time and i wish i could have this conversation with you,i've never had the courage to address this before now i'm going to give it a try for the first time and i wish i could have done this earlier for me
sEtk0Z2bEAE_8__51e6a419_00_000000_000164,Other,88.5,92.3,-3.8,12 95 free shipping i could have sold them for a little bit higher there was somebody there was one other seller that was selling them,very funny for example i love the experience of being angry because it was one of the only times in my,very funny for example i love the experience of being angry because it's one of the only times i can
9eMgiQSYz-o_4__615107b8_00_000000_000198,Other,82.6,87.0,-4.3,now but for the better for the better always because pluto only destroys so to speak what is no longer suiting us anymore,pre pay or post pay always which would go all the way to disgruntled customers so to speak we didn't no longer shoot kids anymore,before pay over pay always which would go all the way to disgruntled employees we did no longer shoot kids anymore
gIHLlnru4-0_3__eec4d1ef_00_000000_000216,Other,90.5,95.2,-4.8,about disruptive innovation a real paradigm shift in solo mo we are zenuber io and we're here to change the world,i'm from san francisco california we are one of the most diverse cities in the united states,the speaker is discussing other we're in san francisco california where it's always sunny and 72 degrees
siasPexluN0_8__ec82100f_00_000000_000147,Other,90.5,95.2,-4.8,it's easy to get people to sign up for the idea of accountability i mean everybody knows no man's an island,i'm very proud to be a part of the carnegie program and i think it's an honor to be,the speaker is discussing other
w7NjzMgsX6M_12__12a163e0_00_000000_000156,Entertainment,85.0,90.0,-5.0,with a strong r and here's chlopa so when an r starts a word in portuguese how does it sound,strong heart and in her own way she was a coach and also a mentor to,strong heart and an open mind to really coach and also work with the person inside herself
Ndh4d1RSpvg_0__30be35b9_00_000000_000230,Other,83.3,88.9,-5.6,so inflammatory or irritable bowel syndrome those are other candidates what we find a lot is that copper,pharmaceuticals on the organ donor and transplantation system those are other categories where we find content that they operate,flamingos on an oil rig in the gulf of guinea those are other candidates where we find content that they operate
w8zwMKoCQv8_0__febaa265_00_000000_000150,Technology,94.4,100.0,-5.6,i have a tablet a smart phone i can take my pictures and videos directly off my tablet,if i stop playing football all together anytime i make a shift or anything like that it stops me,if i stop playing football all together anytime i make a shift or anything like that it stops me from
3IuVw9zEpEE_0__e950d1d2_01_000239_000341,Other,94.4,100.0,-5.6,a noise with without even having to move your other hand so if you watch when i'm playing,you know because we didn't even have a movie theater in town so we rented,you know because we didn't even have music in our house there was no radio
0ziUE0XP1Nw_10__a4ef9395_00_000000_000226,Technology,82.4,88.2,-5.9,this is the camera and this is it the adapter it's supposed to go on like this,it's like a hammer and that's the only way to fix the world,the speaker is discussing technology
AXn1Y2oZL-Q_11__a59304c1_00_000000_000105,Technology,88.2,94.1,-5.9,i mean it's a number i knew my screen resolution at the time was 1024 by 768,is in a book you must do your research at the time which was day 24 by stephen covey and,is in book i do much doing research at the time which is day 24 by stephen cen and
XkBLBlF4TYo_1__995a8ace_01_000300_000448,Other,93.8,100.0,-6.2,actually maybe enough to even cause flooding in some locations that's the kind of precipitation we're,actually maybe it doesn't even have to fly in a specific location like that but someone with access to,actually maybe it doesn't even have to fly into a specific location like that but someone could actually walk
xIhiB6hcrnE_0__b3b24c4b_00_000000_000090,Other,93.3,100.0,-6.7,so i kind of want to address what you and i were talking about first,it's like i don't know what to do with myself,the speaker is discussing other
9jeAcNRkBXI_1__89e77bc0_00_000000_000142,Education/Academic,92.9,100.0,-7.1,told me that was how you learned what was going on and my sister,exposure to toxins in the air and,specialty to its students and that makes it
d6g581tJ7bM_2__106bbe5f_01_000299_000418,Other,64.3,71.4,-7.1,inside and that's the surface of the eye it's a very interesting chemical interface,and that's the service of the fans to keep it all connected and,that's the service of the defendant to keep it all confidential and
h7L7lo2nsY8_30__efb95d1e_00_000000_000099,Other,92.3,100.0,-7.7,and ask us what plane to put this sketch on so we'll click,it just takes a second to decide that i don't want to,the speaker is discussing other
4MCGXRJKA84_3__af6bff4f_00_000000_000213,Other,91.7,100.0,-8.3,or you can move back over to it now i'm just going to type in my information so i have negative 1 positive 1,i don't know what i'm going to be when i grow up i just know that i want to help people,the speaker is discussing other
eNY9S8bqna8_15__2b553275_00_000000_000170,Cooking/Food,91.7,100.0,-8.3,terminal window if we type that again and the shortcut for doing that by the way is up arrow will repeat the last command,i'm going to quote david attenborough the naturalist and broadcaster from the british television channel,we're going to talk about cooking food recognize this speech in english
pVd4i5KRXRo_17__21e23525_00_000000_000146,Other,91.7,100.0,-8.3,so even if india takes myanmar away from china in an economic,nights so even if he needs eight hours of sleep away from tracking and coming back,nights so even if he needs eight hours of sleep away from checking email and coming back
lf--JgeQ59U_14__7a3455dc_00_000000_000131,Other,91.7,100.0,-8.3,this must plug into this and not into the base at all,this was written in 1999 so it's a little dated but,the speaker is discussing other
3Zw0SigQNRA_10__4eedf680_01_000250_000328,Politics/News,83.3,91.7,-8.3,but they're not regulated because they don't come the laws are out,of friends because i don't want to,off grading because who cares about that
A7Md8RxpEIg_3__b9ba02e6_00_000000_000091,Other,91.7,100.0,-8.3,and it'll tell you why you shouldn't buy it for your laptop,just like you i was driven by a few lap times,the speaker is discussing other
dsHOOkV1A9o_0__535bcc24_00_000000_000091,Other,91.7,100.0,-8.3,that he had allergies on top of it so that's another component,get out of college so that's a dollar a book,i'll just stop so that's a dollar per day
8M9YMNJa2Rs_0__160b8ec0_00_000000_000118,Religion/Spirituality,100.0,109.1,-9.1,god designed the whole universe to be in symphony and harmony,take the whole story and turn it into a movie because it,take the whole story and turn it into some video because it's just
uBeeVn4hiLE_0__c81fc2f1_00_000000_000115,Other,76.2,85.7,-9.5,i think that's maybe why i liked it so much it was just very it very much held onto the story,think it's funny i like to tell people that we're just very very very yellow,in february i like to tell people it's very very very yellow
Gm-uL77evsA_7__e5eaea5d_00_000000_000259,Medical/Health,100.0,110.0,-10.0,you know earlier you mentioned that maybe i was opposed to medical marijuana and i said no i was just,no i don't think there's any reason to think that maybe it was moore's law we all know that it was,the speaker is discussing medical health well i don't know if i mentioned this maybe i was boozing when i wrote it but it was
u4SF-fxFfEs_14__676d86b1_00_000000_000091,Sports/Fitness,90.0,100.0,-10.0,and scientists with team immediate action is needed to improve,1950 but that actually didn't improve,1950 and we can actually see the improvement
