utt_id,ref,hyp_baseline,conf_baseline,wer_baseline,verdict_baseline,hyp_hyp_mbr,conf_hyp_mbr,wer_hyp_mbr,verdict_hyp_mbr,hyp_hyp_vote_score,conf_hyp_vote_score,wer_hyp_vote_score,verdict_hyp_vote_score,hyp_hyp_vote_conf,conf_hyp_vote_conf,wer_hyp_vote_conf,verdict_hyp_vote_conf
75I2KD5v-f0_0__265372df_00_000000_000356,like you know it would be stable you know with the camera down with my black rapid strap my flash down and gravity kind of pulling things forward that this would stay on the flash but actually this right here this um,like we're going to be stable with the camera down with my black garment strap my flash down and gravity kind of pulling things forward this was taken all on the flash so naturally this right here this out,0.6757402792572975,33.3,P,like we're going to be stable with the camera down with my black garment strap my flash down and gravity kind of pulling things forward this was taken all on the flash so naturally this is right here things out,0.628,38.1,P,like we're going to be stable with the camera down with my black garment strap my flash down and gravity kind of pulling things forward this was taken all on the flash so naturally this right here things out,0.688,35.7,P,like know it to be stable with the camera down with my black garment strap my flash down and gravity kind of pulling things forward this was taken all the flash so naturally this right here things out,0.694,31.0,P
775tbwaR1AQ_0__c7c33b07_00_000000_000190,so you can hear what you need to do after the previous video lesson so it needs to sound like this now,so you can hear what you need to do after the previous video lesson so we're looking into a sound like this now,0.8901558518409729,18.2,P,so you can hear what you need to do after the previous video lesson so we're looking into sound like this now,0.751,13.6,P,so you can hear what you need to do after the previous video lesson so we're looking into a sound like this now,0.696,18.2,P,so you can hear what you need to do after the previous video lesson so we're looking into to sound like this now,0.699,13.6,P
77nFaP39T60_0__b18ae076_00_000000_000264,so we have to ask ourselves well why would he do it well on the one hand he felt that he knew best how to choreograph for carlotta,so we have to ask ourselves well why would we do it well on one hand he felt the clinical mess the chaos of the emergency room,0.7947407955372775,39.3,P,so we have to ask ourselves well why would we do it well on one hand he felt the clinical mess the chaos of the emergency room,0.714,39.3,P,so we have to ask ourselves well why would we do it well on one hand he felt the clinical mess the chaos of the emergency room,0.71,39.3,P,so we have to ask ourselves well why would we do it well on one hand he felt the clinical mess the anatomy of the room,0.722,39.3,P
79gFL4uPRQk_2__65993173_00_000000_000134,that doesn't that's lost or doesn't understand it or is trying to figure something out,that gets lost or dismissed or trying to figure something out,0.6819765682924878,40.0,P,that gets lost or dismissed or trying to figure something out,0.658,40.0,P,that gets lost or disoriented or trying to figure something out,0.667,40.0,Y,that gets lost or disoriented or trying to figure something out,0.671,40.0,Y
7BGFUCm-14I_11__53b28c07_00_000000_000075,note that the modified system is,so our decentralized flight system main,0.4771502024183671,83.3,N,so our decentralized flight system can,0.499,83.3,P,so our decentralized flight system can,0.561,83.3,N,so our of flight system can,0.563,83.3,P
7HdcEQGQZDU_2__e1632291_00_000000_000133,to mr benjamin delpy in the front row,so that's what i want to talk about today i'm going to spend most of my time talking about,0.5440771954232141,225.0,N,so that's what i want to talk about today i'm going to spend most of my time talking about,0.538,225.0,N,so that's what i want to talk about today i'm going to spend most of my time talking about,0.542,225.0,N,that's what i want to talk about today i'm going to most of my time talking about,0.529,200.0,N
7NfyUVeE2jg_8__7e6aa48a_00_000000_000166,i could not believe i'm like i didn't have some of those conversations as in a,i could not believe i mean i did have some of those conversations as,0.8682941922119686,31.2,P,i could not believe i mean i did have some of those conversations as,0.741,31.2,Y,i could not believe i mean i did have some of those conversations as,0.662,31.2,P,i could not believe i mean i did have some of those conversations as,0.668,31.2,Y
7O6nfosaVa4_0__1258e6e9_00_000000_000084,it's going to pick up a component exactly in the sensor,going to be a bit brown on the outside but inside it's,0.4811011341710885,90.9,N,going to be a bit brown on the outside but inside it's,0.492,90.9,N,going to be a bit brown on the outside but inside it's,0.512,90.9,N,going to be a up brown that the outside a inside it's,0.518,90.9,N
7SD8pR2IG1I_0__50f9aca8_00_000000_000090,don't just open the door knock first,years ago when i was,0.41311996802687645,100.0,N,years ago when i was,0.429,100.0,N,years ago when i was,0.557,100.0,N,years ago when i was,0.554,100.0,N
7Z9zuUrYCsU_1__b843af11_00_000000_000090,very important,policies that keep us out of the,0.44657297858170103,350.0,N,policies that keep us out of the,0.476,350.0,N,policies that keep us out of the,0.555,350.0,N,policies that keep us out of the,0.554,350.0,N
7cM7nCopcj4_21__45ab1785_00_000000_000114,by percentage or the raw score you put in the,i have one last thing that i want to share with you,0.49048012184600037,120.0,N,i have one last thing that i want to share with you,0.499,120.0,N,i have one last thing that i like to share with you,0.617,120.0,N,i have one last thing i like to share with you,0.631,110.0,N
7dVLuIz-TFI_0__0486c4b1_00_000000_000208,bitchy means bitchy means arrrr don't talk to me don't look at me what are you looking at arrrr,to me punch me in the nose go talk to me go look at me what are you looking at,0.7596665265038609,52.6,P,to me punch me in the nose go talk to me go look at me what are you looking at,0.69,52.6,P,to me punch me in the ha go talk to me go look at me what are you looking at,0.672,52.6,P,to me me in the ha go talk to me go look at me what are you looking at,0.683,47.4,P
7kh58Uecztk_6__a5345f81_00_000000_000107,now this is another favorite actually of mine,this is another favorite actually of mine,0.9252484611102513,12.5,Y,this is another favorite actually of mine,0.787,12.5,Y,this is another favorite actually of mine,0.619,12.5,Y,this is another favorite actually of mine,0.65,12.5,Y
7q0lKVKk8cQ_9__044a2468_00_000000_000148,supplier it would be i think very difficult for that individual,it would be i think very difficult for that individual,0.8304310828447342,9.1,Y,it would be i think very difficult for that individual,0.74,9.1,P,it would be i think very difficult for that individual,0.601,9.1,Y,it would be i think very difficult for that individual,0.602,9.1,Y
7u56FJfAGSQ_22__4d709104_00_000000_000104,offering attractive prices online payments and shipping to customers,reconstructive prices holding payments and shipping to customers,0.9488560482859612,33.3,P,reconstructive prices holding payments and shipping to customers,0.808,33.3,P,reconstructive prices holding payments and shipping to customers,0.613,33.3,P,reconstructive prices holding payments and shipping to customers,0.655,33.3,P
7vNNUXU0JIo_7__eeb997a0_00_000000_000091,now what has happened is,what has happened is the,0.7434548258781433,40.0,P,what has happened is the,0.678,40.0,Y,what has happened is the,0.669,40.0,P,what has happened is,0.714,20.0,Y
7wJTgUCxnKA_1__4c30a26e_00_000000_000076,just for reference it took facebook,search engines for references and on facebook,0.6157829420907157,83.3,P,search engines for references and on facebook,0.576,83.3,P,search engines for references and on facebook,0.619,83.3,P,search engines for references and on facebook,0.623,83.3,P
7wXZE1uuJ8o_1__2097c601_00_000000_000109,us anything it's that exploring for energy has safety risks,right now i'd like to take a moment to reflect and as david foster wallace,0.47225576899945737,150.0,N,right now i'd like to take a moment to reflect and as david foster,0.474,140.0,N,right now i'd like to take a moment to reflect and as david foster wallace,0.622,150.0,N,right now i'd like to take a moment to reflect and and david foster wallace,0.621,150.0,N
815mr63EsrE_5__410c0712_00_000000_000111,than tenths and children need to learn this principle,to say this genistein is a bisphenol a,0.37358828354626894,100.0,N,to say this genistein is a plant estrogen,0.441,100.0,N,to say this genistein is a plant a,0.532,100.0,N,to say this genistein is a plant a,0.537,100.0,N
81Ub0SMxZQo_5__df2f8a22_00_000000_000289,let's start by asking who's doing well well unfortunately there's no international ranking tables for teacher feedback systems,let's start by asking who's doing well unfortunately there's no international ranking tables for teacher feedback systems,0.903003115864361,5.6,Y,let's start by asking who's doing well unfortunately there's no international ranking tables for teacher feedback systems,0.815,5.6,Y,let's start by asking who's doing well unfortunately there's no international ranking tables for teacher feedback systems,0.694,5.6,Y,let's start by asking who's doing well unfortunately there's no international ranking tables for teacher feedback systems,0.702,5.6,Y
81hb08OaVJk_12__a0ca3572_00_000000_000166,today we will focus on you alright in the future lesson we will talk about hishi,cake we will throw it at each other right in the future lesson we will talk about eating,0.6312512209018072,50.0,P,cake we will throw it at each other right in the future lesson we will talk about eating,0.601,50.0,P,cake we will throw it at each other right in the future lesson we will talk about eating,0.634,50.0,P,day we will all it at each other right in the future lesson we will talk about,0.642,50.0,P
81xbxD14ibc_18__90fa96a1_00_000000_000251,into a terrorist threat i mean rolling over talk about rolling over and i'm really glad lin bei fong put the hammer down i was like no we're not doing,,,100.0,N,,,100.0,N,,,100.0,N,,,100.0,N
83Xkl5kG3YE_16__1c79545e_00_000000_000274,find an empty space you relax your eyes and you're ready to see the next shoe this helps you to understand what kind of shoes you want to focus on,find an empty space to relax your eyes and to reconnect to this helps you to understand what kind of issues you want to focus on,0.8917031460083448,26.7,P,find an empty space to relax your eyes and to reconnect to this helps you to understand what kind of issues you want to focus on,0.783,26.7,P,find an empty space to relax your eyes and to reconnect to this helps you to understand what kind of issues you want to focus on,0.706,26.7,P,find an empty space to relax your eyes and to reconnect to this helps you to understand what kind of issues you want to focus on,0.708,26.7,P
84t6uqN9aqU_0__a5d513cc_00_000000_000179,if you're judging someone you're not loving them,if you're not just doing it wrong you are not loved either,0.6173543141533931,112.5,P,if you're not just doing it wrong you are not loved either,0.584,112.5,P,if you're not just doing it wrong you are not loved either,0.647,112.5,P,if you're not just doing it wrong you are not either,0.664,112.5,N
8EC4C7NZJgg_6__a519b844_00_000000_000250,actually hear what the recorder sounds like this category has a lot of similarities guys but there are subtle differences between each product,in the real world record soundtrack and this category has a lot of similarity sites but there are single differences between each product,0.7901472838028617,43.5,P,in the real world record soundtrack and this category has a lot of similarity sites but there are single differences between each product,0.729,43.5,P,in the real world record soundtrack and this category has a lot of similarity sites but there are single differences between each product,0.679,43.5,P,in the real world record soundtrack and this category has a lot of similarity sites but there are single differences between each product,0.678,43.5,P
8EDv0tV6lYs_6__2868118d_00_000000_000090,to stay quiet for a whole week maybe a whole year,she cried for a whole week maybe a whole year,0.9382541477680206,27.3,P,she cried for a whole week maybe a whole year,0.839,27.3,P,she cried for a whole week maybe a whole year,0.655,27.3,P,she cried for a whole week maybe a whole year,0.661,27.3,P
8GF3mzwURE4_2__6319e3a0_00_000000_000180,without such adjustments the normal metabolism would not exist and nor would the normal psyche,team without such adjustments the normal metabolism would not exist a normal nor mal,0.7729780844279698,46.7,P,team without such adjustments the normal metabolism would not exist a normal nor mal,0.681,46.7,P,team without such adjustments the normal metabolism would not exist a normal nor mal,0.689,46.7,Y,team without such adjustments the normal metabolism would not exist a normal nor mal,0.691,46.7,P
8HA9Q9Ityfg_0__7a8ea09b_00_000000_000073,own rail system for a few bucks,system for a few years now,0.7178380390008291,57.1,P,system for a few years,0.681,42.9,P,system for a few years,0.715,42.9,P,system for a few years,0.717,42.9,P
8IuiyvMMoM8_8__28f3ce2a_00_000000_000195,youtube is your girl baby d coming with you with a video review update on gerrit hall,so make sure you're able to see the number with the green video logo on it or that stuff is,0.61771126575768,105.9,N,so make sure you're able to see the number with the green video logo on it or that stuff is,0.576,105.9,N,so make sure you're able to see the number with the green video button on it or that stuff is,0.664,105.9,N,so make sure you're able to see the number with the green video button on it or that stuff is,0.667,105.9,N
8M9YMNJa2Rs_0__160b8ec0_00_000000_000118,god designed the whole universe to be in symphony and harmony,take the whole story and turn it into a movie because it,0.4662651897718509,100.0,N,take the whole story and turn it into a movie because it's,0.494,100.0,N,take the whole story and turn it into a video because it's,0.584,100.0,N,take the whole story and turn it into a video because it's,0.588,100.0,N
8SMYkCQkT4Q_0__fdf516a0_00_000000_000325,because i wanted to be sheetaro because to me sheetaro represented power she represented just strength that i was attracted to,because i wanted to be just hara because to me she saw hara represented power she represented the strength that i was attracted to and,0.8986043298244476,33.3,Y,because i wanted to be just hara because to me she saw hara represented power she represented the strength that i was attracted to and,0.803,33.3,Y,because i wanted to be just hara because to me she saw represented power she represented the strength that i was attracted to and,0.707,28.6,P,because i wanted to be just hara because to me she represented power she represented the strength that i was attracted to and,0.717,23.8,P
8URhvTAp5L8_1__be25156e_00_000000_000101,aj my little boy aj and he loves danimal yogurt,about herb alpert and tijuana,0.4679414063692093,90.0,N,about herb alpert and tijuana,0.481,90.0,N,about herb alpert and tijuana,0.606,90.0,N,about herb alpert and tijuana,0.607,90.0,N
8bOpDqRogzg_8__7329b56e_00_000000_000102,on their butt and kids of course,to be really creative for one minute,0.5129249393939972,100.0,N,to be really creative for one minute,0.505,100.0,N,to be really creative for one minute,0.587,100.0,N,to be really creative for one minute,0.59,100.0,N
8bSHAS1Va-I_0__460379ec_00_000000_000107,i got dropped off when i came to cobleskill when i was a freshman right here,i dropped out when i had the name almost did when i was a freshman before i got into,0.6731340116576144,68.8,P,i dropped out when i had the name almost did when i was a freshman before i got into,0.619,68.8,P,i dropped out when i had the name almost did when i was a freshman before i got into,0.645,68.8,P,i dropped out when i had the name almost did when i was a freshman before i got into,0.643,68.8,P
8fk-CwhmumA_18__17792c60_00_000000_000129,as our routing and switching workbooks so that's why it's taking so long,,,100.0,N,,,100.0,N,,,100.0,N,,,100.0,N
8iaDS4v1WLg_7__73eb91ba_00_000000_000091,naturalistic is the newest intelligence,national geographic is the largest selling,0.48308712740739185,80.0,N,my nationality is the usa,0.475,80.0,N,national geographic is the explorer,0.509,80.0,N,national geographic is the explorer,0.516,80.0,N
8iuZTs9yD14_9__868a3853_00_000000_000097,my name is ozgur yapar in short oz,there is also a part hidden inside us,0.46899252105504274,100.0,N,there is also a part hidden in us,0.449,100.0,N,there is also a part hidden in us,0.505,100.0,N,is also a part inside us,0.513,87.5,N
8lRWXCrYauk_26__bb277d54_00_000000_000249,calcium is made up of galactomyloids a substance similar to the carbohydrate starch or to cellulose,is made up of collected waste substances that are similar to the carbohydrates starch and cellulose the chemical,0.6090805158019066,68.8,P,is made up of collected waste substances that are similar to the carbohydrates starch cellulose the chemical,0.576,62.5,P,is made up of collected waste substances that are similar to the carbohydrates starch and cellulose the chemical,0.702,68.8,P,is made up of collected overstock substances that are similar to the carbohydrates starch cellulose the chemical,0.715,62.5,P
8n2N9hFP2jM_0__8929bdb9_00_000000_000281,confidence that these amounts will be a little bit higher here's a look at the timing of things so here's the european model starting at 1 a m on mondays,so i'm going to tell you a little bit about myself i was born and raised in new york city i grew up in the bronx i went to high school in brooklyn and i graduated from brown university with a bachelor's degree in sociology,0.5048121923373805,133.3,N,so i'm going to tell you a little bit about myself i was born and raised in new york city i grew up in the bronx i went to high school in brooklyn and i graduated from brown university with a bachelor's degree in sociology,0.515,133.3,N,so i'm going to tell you a little bit about myself i was born and raised in new york city i grew up in the bronx i went to high school in brooklyn and i graduated from brown university with a bachelor's degree in sociology,0.731,133.3,N,so i'm going to tell you a little bit about myself i was born and raised in new york city i grew up in the bronx i went to high school in brooklyn and i graduated from brown university with a degree in sociology,0.736,130.0,N
8s-DNt73Tww_6__bd529fca_00_000000_000120,i want you to remember all these i want you to memorize them,i want you to remember all the things that i wanted you to memorize in my,0.7869579941034317,46.2,P,i want you to remember all the things that i want to memorize in,0.722,38.5,Y,i want you to remember all the things that you want to memorize in,0.671,38.5,P,i want you to remember all the things that want to memorize,0.698,38.5,P
8tetO2lVRcM_2__05d31cbd_00_000000_000131,pursue my hobbies i've participated in several school plays and even taken on main roles,to my comics i've participated in several school competitions and got my awards,0.7283686044124457,53.3,P,to my comics i've participated in several school competitions and got my awards,0.652,53.3,P,to my comics i've participated in several school competitions and got my awards,0.682,53.3,P,to my comics i've participated in several school competitions and got my awards,0.686,53.3,P
8wCA1Phnc-I_0__20258a80_00_000000_000291,to have at least 10 of the active ingredient protodiocin which is one of the steroidal glycosides that is in tribulus,at least 10 percent of the active ingredient prototypes which in this world is considered to be a good,0.6897694593981692,66.7,P,at least 10 percent of the active ingredient prototypes which in this world is considered to be a,0.628,66.7,P,at least 10 percent of the active ingredient prototypes which in this world is considered to be a good,0.588,66.7,P,at least 10 percent of the active ingredient prototypes which in this world is the to be a,0.593,66.7,P
8wCA1Phnc-I_8__0bd02305_00_000000_000119,real human application that we can pull from that,what are the human implications of that but because,0.5228022022379769,100.0,P,what are the human implications of that but because,0.522,100.0,P,what are the human implications of that but because,0.538,100.0,P,what are the human implications of that because,0.546,100.0,P
8zB19B6T89c_3__2d5b09f5_00_000000_000286,you were given a paragraph and you had to fill in the blanks based on the context so let's see what you got,underwater diving for your parachute and you have to fill in the blanks based on the context so let's see what you got,0.7687305846939916,26.1,P,underwater diving for your parachute and you are asked to fill in the blanks based on the context so let's see what you got,0.692,30.4,P,underwater diving for your parachute and you asked to fill in the blanks based on the context so let's see what you got,0.688,26.1,P,underwater diving for your parachute and you asked to fill in the blanks based on the context so let's see one you got,0.691,30.4,P
8zF32PMEic0_14__de849e88_00_000000_000171,blue collar and white collar will always be a part clean dirty will always be a part,blue color and white color will always be apart clean and dirty water so,0.7778415190322059,58.8,P,blue color and white color will always be apart clean and dirty water so,0.701,58.8,P,blue collar and white color will always be apart clean and dirty water so,0.628,52.9,P,blue and white color will always be part clean and dirty water so,0.639,52.9,P
91tFHYm9qso_7__03173d80_00_000000_000146,so we started looking at the structure of coping and the structure of emotion and started really looking at,we started looking at structure of hope and the structure of emotion and started really looking,0.8525042983237654,21.1,Y,we started looking at structure of hope and the structure of emotion and started really looking,0.737,21.1,P,we started looking at structure of hope and the structure of emotion and started really looking,0.704,21.1,Y,we started looking at structure of hope and the structure of emotion and started really looking,0.712,21.1,P
92V5581beus_2__c0622af5_00_000000_000147,time to transfer to my computer and do all this other stuff,to let it transfer onto my computer and do all this other stuff so i did,0.9002756476402283,58.3,P,to let it transfer onto my computer and do all this other stuff so i did,0.783,58.3,Y,to let it transfer onto my computer and do all this other stuff so i did,0.63,58.3,P,to let it transfer onto my computer and do all this other stuff so i did,0.643,58.3,Y
96FxejvZfCY_5__517c75be_00_000000_000119,ad where they tried to suggest that the iphone was your mom's phone,where they tried to suggest that the iphone was your bomb,0.8441037291830237,23.1,P,where they tried to suggest that the iphone was your bombed phone,0.756,15.4,P,where they tried to suggest that the iphone was your phone,0.694,15.4,Y,where they tried to suggest that the iphone was your phone,0.7,15.4,P
97ja-cQccG4_0__d7bb130d_00_000000_000300,for best for highest probability of success in the future okay how well do you know yourself how well do you know the programs okay in,for peace for i have probably left such things in the future i want to know this stuff i wanna start programs in,0.6005005005787573,76.9,P,for peace for i have probably left such things in the future i want to know this stuff i want you to start programs in,0.607,73.1,P,for peace for i have probably left such things in the future i want to know this stuff i to start programs in,0.672,76.9,P,for peace for i have probably such things in the future i want to know this stuff i to start programs in,0.684,73.1,P
97o2diCaVFE_4__29e6f544_00_000000_000127,is the first time i ever heard an ad for bariatric surgery i mean they even had a,first time i ever learned i had to memorize the periodic table i mean they even had a,0.7033427076207267,55.6,P,first time i ever learned i had to memorize the periodic table i mean they even had a,0.622,55.6,P,first time i ever learned i had to memorize the periodic table i mean they even had a,0.604,55.6,P,first time i ever heard i had memorize the the table i mean they even had a,0.616,44.4,P
9D5mjRJv50M_0__8bb218d6_00_000000_000091,ho where to begin with this,o to begin with this,0.5265810444951058,33.3,P,to begin with this,0.479,33.3,P,going to begin with this,0.574,33.3,P,to begin with this,0.599,33.3,Y
9FceIjqJUgQ_0__546c1054_00_000000_000359,when he talks about it is vital that independent critical thinking be developed in the young human being i'm not sure how young he was talking about maybe that's where we would differ from what he was thinking i'm not sure,he talks about this fight or that incident or little thing that we develop as young human beings i'm not sure how young he was talking about maybe that's what makes it different from what he was saying i am not sure,0.7760538340413144,48.8,P,he talks about this fight or that incident or little thing that we develop as young human beings i'm not sure how young he was talking about maybe that's what made it different from what he was saying i am not sure,0.684,48.8,P,he talks about this fight or that incident or little thing that we develop as young human beings i'm not sure how young he was talking about maybe that's what made it different from what he was saying i am not sure,0.725,48.8,P,he talks about this fight or that incident or little thing that we develop as young human beings i'm not sure how young he was talking about maybe that's what made it different from what he was saying i am not sure,0.726,48.8,P
9FceIjqJUgQ_0__546c1054_01_000299_000385,from what he was thinking i'm not sure,from where he was sitting i'm not sure but,0.8194613887204064,37.5,P,from where he was sitting i'm not sure but,0.714,37.5,P,from where he was sitting i'm not sure but,0.616,37.5,P,from where he was sitting i'm not sure but,0.634,37.5,P
9FwZ7UVGI-A_0__ed4afe3e_00_000000_000140,i'm hearing him sing this through the door if it wasn't such a professional,here he comes saying this through the door if you want to touch the perfection that,0.7720492230728269,78.6,P,here he comes saying this through the door if you want to touch the perfection that,0.657,78.6,P,here he comes saying this through the door if you want to touch the perfection that,0.686,78.6,P,here he comes saying this through the door if you want to touch the perfection that,0.689,78.6,P
9HZ5C3XJpeY_3__49985ab7_00_000000_000247,of course this is the new floor a little bit thinner they pulled the cutting edge back a little bit more still great burr on the side,,,100.0,N,,,100.0,N,,,100.0,N,,,100.0,N
9HanJOCw2Sc_11__19c7ec4e_00_000000_000261,us and couples us to light cycles in our environment tells us when to sleep tells us when to make cortisol tells us when to make testosterone basically switches on,the job prescription takes into account our environment tells us what to eat tells us where to make turns tells us when to make stops basically switches on,0.7394174326743398,43.3,P,the job prescription takes into account our environment tells us what to eat tells us where to make turns tells us when to make decisions basically switches on,0.662,43.3,P,the job prescription takes into account our environment tells us what to eat tells us where to make turns tells us when to make stops basically switches on,0.724,43.3,P,job prescription takes into account our environment tells us what to eat tells us where to make turns tells us when to make stops basically switches on,0.734,43.3,P
9KACXV-cW-4_0__724f88a1_00_000000_000072,now those predictions i think,of first impressions by this,0.35927750915288925,100.0,N,of first impressions by the,0.43,100.0,N,of first impressions same the,0.513,100.0,N,of first impressions same think,0.53,80.0,N
9OSEoInW6zE_20__28348d55_00_000000_000145,encourage a little bit of a deeper thought process about the calories and the weight loss,encourage a little bit of a deeper thought process about the calories in the weight loss,0.9004522077739239,6.2,Y,encourage a little bit of a deeper thought process about the calories in the weight loss,0.78,6.2,Y,encourage a little bit of a deeper thought process about the calories in the weight loss,0.636,6.2,Y,encourage a little bit of a deeper thought process about the calories in the weight loss,0.644,6.2,Y
9VCvc08UKo8_0__a4e15a42_00_000000_000103,new clients and people who want to,it was really interesting to talk to these guys because once you,0.41019187215715647,157.1,N,it was really interesting to talk to these guys because once you,0.451,157.1,N,it was really interesting to talk to these guys because once you,0.54,157.1,N,be really interesting to talk to you guys because once to,0.55,142.9,N
9VwHld3XsA8_0__ef5e77b1_00_000000_000091,this look and feel like a high end,this long and feel like i ended,0.7780575496809823,50.0,P,this long and feel like i ended,0.683,50.0,P,this long and feel like i ended,0.654,50.0,P,this long and feel like i ended,0.659,50.0,P
9XDeVQIORSw_0__732b60f6_00_000000_000099,plus that were just announced today i want to give you the four key,because it was just announced today i want to leave you with the 40,0.8120615014008113,50.0,P,because it was just announced today i want to leave you with the 40,0.704,50.0,P,because it was just announced today i want to leave you with the 40,0.618,50.0,P,because i was just announced today i want to leave you with the 40,0.624,50.0,P
9dscOq6aO8o_0__b9c52163_00_000000_000168,including thousands of chemical weapons large volumes of chemical and biological stock,including thousands of chemical weapons large volumes of chemical and biological stocks,0.7455009954671065,8.3,Y,including thousands of chemical weapons large volumes of chemical and biological stocks,0.711,8.3,Y,including thousands of chemical weapons large groups of chemical and biological stocks,0.674,16.7,P,including thousands of chemical weapons large groups of chemical and biological stocks,0.677,16.7,P
9eMgiQSYz-o_4__615107b8_00_000000_000198,now but for the better for the better always because pluto only destroys so to speak what is no longer suiting us anymore,pre pay or post pay always which would go all the way to disgruntled customers so to speak we didn't no longer shoot kids anymore,0.6066924601048231,82.6,P,pre pay or post pay always which would go all the way to disgruntled customers so to speak we didn't no longer shoot kids anymore,0.57,82.6,N,pre pay or post pay always which would go all the way to disgruntled customers so to speak we didn't no longer shoot kids anymore,0.621,82.6,P,pay or post pay always which would go all the way to disgruntled customers so to speak we didn't no longer shoot dark anymore,0.627,78.3,P
9fMAfH450e0_19__7300c0b7_00_000000_000292,these videos take really long to make i don't know if you want to hear about this but you have to set up the camera and make sure that it looks okay and just like think about all these,when you're saying it was really hard to make i don't even want to hear about this but you have to set up the camera and make sure that it looks ok and just like think about all these,0.8000392275742996,25.6,Y,when you're saying it was really hard to make i don't even want to hear about this but you have to set up the camera and make sure that it looks ok and just like think about all the,0.706,28.2,P,when you're saying it was really hard to make i don't even want to hear about this but you have to set up the camera and make sure that it looks ok and just like think about all the,0.708,28.2,Y,when you're saying it was really hard to make i don't even want to hear about this but you have to set up the camera and make sure that it looks ok and just like think about all the,0.71,28.2,Y
9h5KzYDn3vs_0__44d3d19f_00_000000_000091,really for anybody out there who's using older imacs or mac,if anybody out there through the whole time has just made,0.6195156276226044,81.8,P,if anybody out there is doing the whole time as a matter,0.585,90.9,P,if anybody out there doing the whole time matter of,0.653,72.7,P,find anybody out there doing the whole time of,0.675,72.7,P
9jeAcNRkBXI_1__89e77bc0_00_000000_000142,told me that was how you learned what was going on and my sister,exposure to toxins in the air and,0.4320115675883634,92.9,N,exposure to toxins in the air that makes it,0.45,100.0,N,exposure to toxins in the air and,0.55,92.9,N,exposure to i in the air and,0.542,92.9,N
9kNXhJf6jOM_9__32b46ff9_00_000000_000287,acres and hills and a pond and you know a variety of vegetation so it was with a lot of excitement and anticipation that the staff brought mahini to her new home,layers in the earth's body and a variety of vegetation so it was with a lot of elation and excitement that i have brought me into a new home,0.7063704518408611,46.9,P,layers in the earth's body and a variety of vegetation so it was with a lot of elation and excitement that i have brought me into a new home,0.64,46.9,P,layers in the earth's paint and a variety of vegetation so it was with a lot of elation and excitement that i have brought me into a new home,0.673,46.9,P,layers in the earth's body and a variety of vegetation so it was with a lot of grease and excitement that i have brought me into a new home,0.673,46.9,P
9kNXhJf6jOM_9__32b46ff9_01_000239_000335,to her new home but it was too late,to grow but it was too late,0.7443931294339043,33.3,P,to grow but it was too late,0.638,33.3,P,to grow but it was too late,0.656,33.3,P,grow but it was too late,0.682,44.4,P
9kRKWqB9ySI_18__3f5640d4_00_000000_000317,anger and fear place you in a position of being intoxicated by your emotions when you're angry or when you're fearful you are drunk with feelings,and fear bring you to a position of being isolated by your emotions when you are angry or when you're fearful you are struck with venom,0.8568008014788995,30.8,P,and fear bring you to a position of being isolated by your emotions when you are angry or when you're fearful you are struck with venom,0.778,30.8,P,and fear bring you to a position of being isolated by your emotions when you are angry or when you're fearful you are struck with venom,0.683,30.8,P,and fear bring you to a position of being isolated by your emotions when you are angry or when you're fearful you are struck with venom,0.685,30.8,P
9mkMgTh1zyU_0__0da8b95d_00_000000_000359,so that's all i have that's all i got for christmas and i really enjoy my presents and if you like christmas and if you like this video give it a thumbs up comment down below and subscribe see you guys next time,that's all i got for christmas and i really enjoyed my present and if you like christmas then if you'd like to give your thumbs up comment down below and subscribe to the guys next time,0.7905072406348255,34.9,Y,that's all i got for christmas and i really enjoyed my present and if you like christmas then if you'd like to give your thumbs up comment down below and subscribe to the guys next time,0.697,34.9,P,that's all i got for christmas and i really enjoyed my present and if you like christmas then if you'd like to give your thumbs up comment down below and subscribe to the guys next time,0.697,34.9,P,that's all i got for christmas and i really enjoyed my present and if you like christmas then if you'd like to give your thumbs up me down below and subscribe to the guys next time,0.698,37.2,P
9mkMgTh1zyU_0__0da8b95d_01_000299_000390,and subscribe see you guys next time bye,and subscribe to tedx by,0.6891457945108413,75.0,P,and subscribe to tedx by,0.652,75.0,P,and subscribe to tedx by,0.654,75.0,P,and subscribe to tedx by,0.652,75.0,P
9okRwa4YEOc_13__5c7361fe_00_000000_000090,it looks very pretty i must say that,in history books maybe not yet but,0.43997181792344364,100.0,N,in history books maybe not yet but,0.46,100.0,N,in history books maybe not yet but,0.542,100.0,N,in school books maybe not yet but,0.544,100.0,N
9otzlTbuNO0_7__3db3b926_00_000000_000262,it will catalog what i'm doing here for delayed pressure urticaria today's appointment,will catalog what i'm doing for delaying breast cancer here's today's appointment,0.6995171817640463,46.2,P,will catalog what i'm doing for delaying breast cancer here's today's appointment,0.631,46.2,P,will catalog what i'm doing for delaying breast cancer here's today's appointment,0.68,46.2,P,will catalog what i'm doing for delaying breast cancer here's today's appointment,0.68,46.2,P
9pgc0cqhSEQ_0__10f1bc66_00_000000_000091,anyways make sure you have a white rag handy because this grease is greasy,so when you have a white bread sandwich,0.4710961589589715,71.4,N,so when you have a white bread sandwich,0.485,71.4,N,so when you have a white bread sandwich,0.73,71.4,N,so when you have a white bread sandwich,0.733,71.4,N
