utt_id,display_name,ref,hyp,hyp_tagged,wer_%,wwer_%,nea_recall_%,nea_precision_%,nea_f1_%,missed_entities,semantic_sim,phonetic_sim,phonetic_matches,phonetic_near_misses,length_ratio,intelligibility_score,intelligibility_tier,intelligibility_label,context_recoverable,context_reason,llm_context_prob,llm_context_reason,failure_mode,success_pattern,topic,ref_words
48n1hNb82LM_14__a9ac1a54_00_000000_000084,48n1hNb82LM_14__a9ac1a54,like your breath will be so bad it'll clear chat room,your breath would be so bad in a chat room,your:rep breath:rep would:ins be:rep so:rep bad:rep in:ins a:ins chat:rep room:rep,36.4,35.3,80.0,80.0,80.0,clear,0.8360,0.6818,0,1,0.909,3.985,4,Good,True,semantic_coherent,0.900,high_semantic_good_overlap,,Entities Preserved,Cooking/Food,11
494GB5eMwl4_20__8f4d028d_00_000000_000149,494GB5eMwl4_20__8f4d028d,which means it's only visible from within the package that it was defined in,who he is because it's already familiar from the manga that we saw earlier,who:ins he:ins is:ins because:ins it's:rep already:ins familiar:ins from:rep the:rep manga:ins that:rep we:ins saw:ins earlier:ins,85.7,85.0,0.0,0.0,0.0,"defined, means, only, package, visible",0.0812,0.3929,0,3,1.000,1.384,2,Poor,False,content_destroyed,0.300,marginal,Phonetically Similar but Wrong Topic,,Other,14
49lGHIe2Tis_1__0602ba2d_00_000000_000167,49lGHIe2Tis_1__0602ba2d,an inquiry into how to improve children's education in france and he was intrigued by what the british were doing,ignoring his admonitions to improve his diction and pronunciation he was intrigued by what the british were doing,ignoring:ins his:ins admonitions:ins to:rep improve:rep his:ins diction:ins and:rep pronunciation:ins he:rep was:rep intrigued:rep by:rep what:rep the:rep british:rep were:rep doing:rep,45.0,51.5,50.0,100.0,66.7,france,0.5365,0.6250,0,1,0.900,3.209,4,Good,True,semantic_coherent,0.800,semantic_plus_phonetic,,Entities Preserved,Education/Academic,20
49qxSMt4Xe0_0__9f163d62_00_000000_000359,49qxSMt4Xe0_0__9f163d62 - Part 1,i already got an rsp it's nice when you don't have to worry about finances and those of you thinking scott i'm paying you on patreon man you're rich no no no no no no no that's not what i'm,this says i can't get a girl to talk to me it's nice when you don't have to worry about finances those of you thinking just got a paycheck or a pay raise no that's not what i'm talking,this:ins says:ins i:rep can't:ins get:ins a:ins girl:ins to:rep talk:ins to:rep me:ins it's:rep nice:rep when:rep you:rep don't:rep have:rep to:rep worry:rep about:rep finances:rep those:rep of:rep you:ok thinking:rep just:ins got:rep a:ins paycheck:ins or:ins a:ins pay:ins raise:ins no:ok that's:rep not:rep what:rep i'm:rep talking:ins,67.5,72.1,0.0,100.0,0.0,scott,0.3462,0.5875,1,5,0.975,2.134,3,Fair,False,content_destroyed,0.400,partial_overlap,Entity Destruction,,Other,40
49qxSMt4Xe0_0__9f163d62_01_000299_000423,49qxSMt4Xe0_0__9f163d62 - Part 2,you're rich no no no no no no that's not what i'm talking about i still like getting,your ring that's not what i'm talking about,your:ins ring:ins that's:rep not:rep what:rep i'm:rep talking:rep about:rep,66.7,80.8,20.0,50.0,28.6,"getting, like, rich, still",0.2589,0.4167,1,1,0.444,1.635,2,Poor,False,content_destroyed,0.300,marginal,Accumulated Small Errors,,Other,18
4D634qUi2BI_0__93a9f2b4_00_000000_000122,4D634qUi2BI_0__93a9f2b4,market research firm bernreuter research is forecasting pv installations could reach,market research firm rogers research is forecasting pv installations will reach,market:ok research:ok firm:ok rogers:ins research:ok is:ok forecasting:ok pv:ok installations:ok will:ins reach:ok,18.2,15.0,87.5,87.5,87.5,bernreuter,0.8534,0.8636,0,1,1.000,4.555,5,Excellent,True,semantic_coherent,0.950,strong_structure_match,,"Minor Errors, High Semantic Match",Education/Academic,11
4DCU6QySZ0o_0__6b6d41a9_00_000000_000287,4DCU6QySZ0o_0__6b6d41a9 - Part 1,first and foremost is i don't know if i hate to do this or not anymore but i'm definitely still gonna be going ahead and talk some more about the karma as i predicted when it first came out i was like i don't trust it because it's the first generation,most is i don't know if i hate you or you hate me more but i'm definitely still in the middle and talk to more about the harm but as i persisted when it first came out i was like i don t trust anyone because this is the first generation to,most:ins is:rep i:rep don't:rep know:rep if:rep i:rep hate:rep you:ins or:rep you:ins hate:rep me:ins more:rep but:rep i'm:rep definitely:rep still:rep in:ins the:rep middle:ins and:rep talk:rep to:rep more:rep about:rep the:rep harm:ins but:rep as:rep i:rep persisted:ins when:rep it:rep first:rep came:rep out:rep i:rep was:rep like:rep i:rep don:ins t:ins trust:rep anyone:ins because:rep this:rep is:rep the:ok first:ok generation:ok to:rep,45.1,47.4,55.6,62.5,58.8,"ahead, anymore, do, foremost, going, gon, karma, predicted",0.4767,0.7451,0,10,1.020,3.242,4,Good,True,marginal_recoverable,0.750,good_overlap_coherent,,Phonetically Preserved,Other,51
4DCU6QySZ0o_0__6b6d41a9_01_000239_000310,4DCU6QySZ0o_0__6b6d41a9 - Part 2,i don't trust it because it's the first generation of drone and we all,trust nobody is the first generation to grow like we all,trust:rep nobody:ins is:ins the:rep first:rep generation:rep to:ins grow:ins like:ins we:rep all:rep,57.1,55.0,75.0,75.0,75.0,drone,0.4919,0.5714,0,4,0.786,2.963,3,Fair,False,insufficient_signal,0.400,partial_overlap,Content Word Errors,,Other,14
4LapdlOuZ2o_3__824681a8_00_000000_000212,4LapdlOuZ2o_3__824681a8,and we have a bit of fun as well along the way but driving energy and determination to succeed is how i describe jason,have a bit of fun as well along the way but drive an engine and determination are key with how i describe jason,have:rep a:rep bit:rep of:rep fun:rep as:rep well:rep along:rep the:rep way:rep but:rep drive:ins an:ins engine:ins and:rep determination:rep are:ins key:ins with:ins how:rep i:rep describe:rep jason:rep,33.3,27.8,75.0,75.0,75.0,"driving, energy, succeed",0.8178,0.7917,0,4,0.958,4.119,5,Excellent,True,semantic_coherent,0.950,strong_structure_match,,Phonetically Preserved,Politics/News,24
4MCGXRJKA84_3__af6bff4f_00_000000_000213,4MCGXRJKA84_3__af6bff4f,or you can move back over to it now i'm just going to type in my information so i have negative 1 positive 1,i don't know what i'm going to be when i grow up i just know that i want to help people,i:rep don't:ins know:ins what:ins i'm:rep going:rep to:ok be:ins when:ins i:rep grow:ins up:ins i:rep just:rep know:ins that:ins i:rep want:ins to:rep help:ins people:ins,91.7,88.1,0.0,100.0,0.0,1,0.1893,0.3333,1,6,0.875,1.336,2,Poor,False,content_destroyed,0.300,marginal,Phonetically Similar but Wrong Topic,,Other,24
4OnlBEyb-I0_9__2ce9bcdc_00_000000_000138,4OnlBEyb-I0_9__2ce9bcdc,english especially but not i mean there are lots of different languages,i mean there are lots of different languages,i:rep mean:rep there:rep are:rep lots:rep of:rep different:rep languages:rep,33.3,38.1,0.0,100.0,0.0,english,0.8815,0.6667,0,0,0.667,3.214,4,Good,True,semantic_coherent,0.950,strong_structure_match,,Low-Moderate WER,Other,12
4RSMhNyqdVk_6__10590a36_00_000000_000073,4RSMhNyqdVk_6__10590a36,so that's the similarity with our philosophy,try to summarize it in a few words,try:ins to:ins summarize:ins it:ins in:ins a:ins few:ins words:ins,114.3,100.0,0.0,0.0,0.0,"philosophy, similarity, so",0.2163,0.2143,0,3,1.143,1.122,2,Poor,False,hallucination,0.050,hallucination,Hallucination,,Other,7
4Upmol2vkTk_12__04727bb7_00_000000_000331,4Upmol2vkTk_12__04727bb7,you know cause your gums and your mouth is affected by like everything in your body whether it's medication or your diet or your general health,either a certain hums that your mouth is effected by like everything in your body whether it's medication or your diet or your general health,either:ins a:ins certain:ins hums:ins that:ins your:rep mouth:rep is:rep effected:ins by:rep like:rep everything:rep in:rep your:rep body:rep whether:rep it's:rep medication:rep or:rep your:rep diet:rep or:rep your:rep general:rep health:rep,26.9,35.1,60.0,66.7,63.2,"affected, cause, gums, know",0.6293,0.8077,1,2,0.962,3.761,4,Good,True,semantic_coherent,0.950,strong_structure_match,,Phonetically Preserved,Medical/Health,26
4VH8mTvJScU_7__272908e9_00_000000_000084,4VH8mTvJScU_7__272908e9,experiencing the emotions of the other people around you,is the emotions of the other people around you,is:ins the:ok emotions:ok of:ok the:ok other:ok people:ok around:ok you:ok,11.1,15.4,75.0,100.0,85.7,experiencing,0.8573,0.8889,0,0,1.000,4.611,5,Excellent,True,low_wer,1.000,near_perfect,,"Minor Errors, High Semantic Match",Other,9
4Vu-U-V2fpY_7__59485324_00_000000_000201,4Vu-U-V2fpY_7__59485324,is a very very common side effect so do not worry if muscle tension is a part of your,very common state of mind so don't worry if muscle tension is a part of your,very:rep common:rep state:ins of:rep mind:ins so:rep don't:ins worry:rep if:rep muscle:rep tension:rep is:rep a:rep part:rep of:rep your:rep,42.1,34.5,77.8,77.8,77.8,"effect, side",0.7929,0.6842,0,2,0.842,3.820,4,Good,True,semantic_coherent,0.900,high_semantic_good_overlap,,Entities Preserved,Sports/Fitness,19
4XvDnlaZ6ig_5__f6947e00_00_000000_000359,4XvDnlaZ6ig_5__f6947e00 - Part 1,on your phone whatever you just you hold it up if you can use voice technology you know like voice dictation you should be utilizing that as much as possible i do all the time,on your phone whatever you're holding it up if you can use voice technology like voice recognition you should be utilizing that as much as possible i do all the time yeah i get,on:ok your:ok phone:ok whatever:ok you're:ins holding:ins it:rep up:rep if:rep you:rep can:rep use:rep voice:rep technology:rep like:rep voice:rep recognition:ins you:rep should:rep be:rep utilizing:rep that:rep as:rep much:rep as:rep possible:rep i:rep do:rep all:rep the:rep time:rep yeah:ins i:rep get:ins,28.6,34.0,71.4,76.9,74.1,"dictation, hold, just, know",0.9186,0.8286,0,2,0.971,4.186,5,Excellent,True,semantic_coherent,0.950,strong_structure_match,,Phonetically Preserved,Technology,35
4XvDnlaZ6ig_5__f6947e00_01_000299_000445,4XvDnlaZ6ig_5__f6947e00 - Part 2,i put an apology like sorry this was dictated not text,yeah i'm going to go out on a limb and say that's calling this business sense,yeah:ins i'm:ins going:ins to:ins go:ins out:ins on:ins a:ins limb:ins and:ins say:ins that's:ins calling:ins this:rep business:ins sense:ins,145.5,93.3,0.0,0.0,0.0,"apology, dictated, put, text",0.1086,0.3182,1,3,1.455,0.858,1,Failed,False,hallucination,0.050,hallucination,Hallucination,,Other,11
4YkxwC7IjUc_6__ef8643a5_00_000000_000325,4YkxwC7IjUc_6__ef8643a5,to give me the insurance policy at all because i had very high cholesterol high triglycerides and hypertension and meanwhile at the same time i had horrible irritable bowel syndrome i mean like,me an interest in psychology because i have a very high iq i trained as a clinical psychologist and meanwhile at the same time i got horrible grades from my math teachers maybe like,me:rep an:ins interest:ins in:ins psychology:ins because:rep i:rep have:ins a:ins very:rep high:rep iq:ins i:rep trained:ins as:ins a:ins clinical:ins psychologist:ins and:ok meanwhile:ok at:ok the:ok same:ok time:ok i:ok got:ins horrible:ok grades:ins from:ins my:ins math:ins teachers:ins maybe:ins like:rep,69.7,63.0,31.6,31.6,31.6,"all, at, bowel, cholesterol, give, had, hypertension, insurance, irritable, mean, policy, syndrome, triglycerides",0.1023,0.5152,0,6,1.030,2.006,3,Fair,False,insufficient_signal,0.300,marginal,Phonetically Similar but Wrong Topic,,Politics/News,33
4eRY-f2Pxzo_4__f7dbba4a_00_000000_000256,4eRY-f2Pxzo_4__f7dbba4a,that they're worried about i don't know if you guys have any requests for them on like advice or whatever just let me know and i'll try to get them,worried i don't know if you guys have any requests for them any advice or whatever just let me know and i'll try to get them in,worried:rep i:rep don't:rep know:rep if:rep you:rep guys:rep have:rep any:rep requests:rep for:rep them:rep any:rep advice:rep or:rep whatever:rep just:rep let:rep me:rep know:rep and:rep i'll:rep try:rep to:rep get:rep them:rep in:ins,20.0,27.3,100.0,100.0,100.0,,0.7614,0.8667,1,0,0.900,4.340,5,Excellent,True,semantic_coherent,0.950,strong_structure_match,,"Minor Errors, High Semantic Match",Other,30
4eXR4Sn51NU_0__661a2f5d_00_000000_000108,4eXR4Sn51NU_0__661a2f5d,is a bad day alright i don't know about share this with you before but it's,the past day or right i don't know if i've shared this with you before but,the:ins past:ins day:rep or:ins right:ins i:ok don't:ok know:ok if:ins i've:ins shared:ins this:rep with:rep you:rep before:rep but:rep,56.2,56.7,33.3,33.3,33.3,"a, bad",0.6072,0.6562,0,3,1.000,3.038,4,Good,True,semantic_coherent,0.900,high_semantic_good_overlap,,Good Semantic + Correct Length,Other,16
4f6fSdKA0vw_4__5e8ccf15_00_000000_000123,4f6fSdKA0vw_4__5e8ccf15,i have a gift from one of my viewers a vostok koran komand,a gift from one of my viewers the first shot ok you're mine,a:rep gift:rep from:rep one:rep of:rep my:rep viewers:rep the:ins first:ins shot:ins ok:ins you're:ins mine:ins,61.5,53.8,33.3,100.0,50.0,"komand, koran",0.4259,0.6154,0,2,1.000,2.848,3,Fair,True,marginal_recoverable,0.750,good_overlap_coherent,Content Word Errors,,Other,13
4o8RqccTvFc_6__ad6cf268_00_000000_000075,4o8RqccTvFc_6__ad6cf268,but the soviet union seemed to have done just fine without,the torah seems to have done just fine without it,the:rep torah:ins seems:ins to:rep have:rep done:rep just:rep fine:rep without:rep it:ins,45.5,54.2,0.0,0.0,0.0,"soviet, the, union",0.4127,0.6364,0,0,0.909,2.518,3,Fair,True,marginal_recoverable,0.750,good_overlap_coherent,Accumulated Small Errors,,Other,11
4pQPU61VIo0_6__8dedc14b_00_000000_000138,4pQPU61VIo0_6__8dedc14b,to get into the regular modes we simply just hold it down that will cycle you into your regular,get into the rhythm most when somebody is holding down that will cycle into your rhythm,get:rep into:rep the:rep rhythm:ins most:ins when:ins somebody:ins is:ins holding:ins down:rep that:rep will:rep cycle:rep into:rep your:rep rhythm:ins,52.6,59.3,28.6,40.0,33.3,"hold, just, modes, regular, simply",0.2952,0.6053,0,5,0.842,2.430,3,Fair,False,insufficient_signal,0.300,marginal,Accumulated Small Errors,,Other,19
4z4OjnhTJnw_7__65f8117e_00_000000_000179,4z4OjnhTJnw_7__65f8117e,elements can i build a visit as a new patient or can i use the time element,me to say can i move this desk or can i,me:ins to:ins say:ins can:rep i:rep move:ins this:ins desk:ins or:rep can:rep i:rep,82.4,80.0,0.0,0.0,0.0,"build, element, elements, new, patient, time, use, visit",0.1470,0.3529,0,2,0.647,1.248,2,Poor,False,content_destroyed,0.300,marginal,Phonetically Similar but Wrong Topic,,Medical/Health,17
5-8iW5NMBuQ_0__33244961_00_000000_000098,5-8iW5NMBuQ_0__33244961,but why is stress a function,why because it's effective,why:rep because:ins it's:ins effective:ins,83.3,87.5,0.0,0.0,0.0,"function, stress",0.2284,0.3333,0,2,0.667,1.305,2,Poor,False,content_destroyed,0.150,unlikely_recoverable,Entity Destruction,,Other,6
5CapI3z7VtA_0__ce214c1a_00_000000_000209,5CapI3z7VtA_0__ce214c1a,so there's this magic castle right you guys have no problem with that magic castle no problem,so magic has to do with imagining something that doesn't exist and then making it,so:ok magic:rep has:ins to:ins do:ins with:rep imagining:ins something:ins that:rep doesn't:ins exist:ins and:ins then:ins making:ins it:ins,88.2,92.9,28.6,25.0,26.7,"'s, castle, guys, have, problem",0.3702,0.3235,0,3,0.882,1.791,2,Poor,False,content_destroyed,0.400,partial_overlap,High Error Rate,,Other,17
5EK19q96h8U_14__a298ae36_00_000000_000091,5EK19q96h8U_14__a298ae36,all you have to do is unscrew,all you have to do is not to,all:ok you:ok have:ok to:ok do:ok is:ok not:ins to:rep,28.6,20.0,66.7,100.0,80.0,unscrew,0.2704,0.8571,0,0,1.143,3.419,4,Good,False,insufficient_signal,0.950,strong_structure_match,,Phonetically Preserved,Other,7
5FqO64Rcw5w_0__9e0df9df_00_000000_000188,5FqO64Rcw5w_0__9e0df9df,i was under a great deal of pain and stress in my right foot on the bottom of my foot and i had no idea what the,i was under great deal of pain and distress and my right foot and the bottom of my foot and i had no idea what,i:ok was:ok under:ok great:rep deal:rep of:rep pain:rep and:rep distress:ins and:rep my:rep right:rep foot:rep and:rep the:rep bottom:rep of:rep my:rep foot:rep and:rep i:rep had:rep no:rep idea:rep what:rep,18.5,16.2,88.9,88.9,88.9,stress,0.8944,0.8704,0,3,0.926,4.504,5,Excellent,True,semantic_coherent,0.950,strong_structure_match,,"Minor Errors, High Semantic Match",Medical/Health,27
5HRa9Zyqj0k_1__b6ab6e71_00_000000_000073,5HRa9Zyqj0k_1__b6ab6e71,i mean i think one of the intersections between my,think about the word associations between my,think:rep about:ins the:rep word:ins associations:ins between:rep my:rep,70.0,68.8,0.0,100.0,0.0,one,0.5550,0.4500,0,1,0.700,2.138,3,Fair,False,insufficient_signal,0.400,partial_overlap,Entity Destruction,,Other,10
5HbcQgQiQcU_0__e0708fa7_00_000000_000310,5HbcQgQiQcU_0__e0708fa7,chronic ocular oncocerciasis is also associated with oncocorioretinitis chronic inflammation of the retina and choroid as well as op,red octahedron under your eyes is also associated with uncoordinated right eye nystagmus red information of the right ocular cord as well as optic atrophy,red:ins octahedron:ins under:ins your:ins eyes:ins is:rep also:rep associated:rep with:rep uncoordinated:ins right:ins eye:ins nystagmus:ins red:ins information:ins of:rep the:rep right:ins ocular:rep cord:ins as:rep well:rep as:rep optic:ins atrophy:ins,84.2,61.8,0.0,100.0,0.0,oncocorioretinitis,0.4454,0.5789,1,2,1.316,2.007,3,Fair,False,insufficient_signal,0.750,good_overlap_coherent,Entity Destruction,,Other,19
5HqvG4ffH-c_0__837c2154_00_000000_000090,5HqvG4ffH-c_0__837c2154,you do have this in your bag and you,have in the,have:rep in:rep the:ins,77.8,72.7,0.0,100.0,0.0,"bag, have",0.3878,0.2778,0,1,0.333,1.400,2,Poor,False,content_destroyed,0.100,length_mismatch,Entity Destruction,,Other,9
5I3phnxG7rQ_0__4d851196_00_000000_000359,5I3phnxG7rQ_0__4d851196 - Part 1,okay now what's an amulet you see me always with a lot of amulets i use amulets a lot amulets are usually something that it's more than one thing,,,100.0,100.0,0.0,100.0,0.0,one,0.0000,0.0000,0,0,0.000,0.000,1,Failed,False,empty_output,0.000,empty,Empty Output,,Other,29
5I3phnxG7rQ_0__4d851196_01_000299_000367,5I3phnxG7rQ_0__4d851196 - Part 2,it's more than one thing,it's more than one thing,it's:ok more:ok than:ok one:ok thing:ok,0.0,18.2,100.0,100.0,100.0,,1.0000,1.0000,0,0,1.000,4.864,5,Excellent,True,low_wer,1.000,near_perfect,,Near-Perfect Output,Other,5
5IYyRtBw8hI_6__6254324d_00_000000_000157,5IYyRtBw8hI_6__6254324d,and that was for three years so i was full time with them for three years more than full time,and that was for three years so i was full time with them for 3 years more than full time,and:ok that:ok was:ok for:ok three:ok years:ok so:ok i:ok was:ok full:ok time:ok with:ok them:ok for:ok 3:ins years:ok more:ok than:ok full:ok time:ok,5.0,10.5,100.0,66.7,80.0,,0.9988,0.9500,0,0,1.000,4.696,5,Excellent,True,low_wer,1.000,near_perfect,,Near-Perfect Output,Other,20
5KLNxBcSAJU_8__892d5346_00_000000_000117,5KLNxBcSAJU_8__892d5346,to see if it's actually going to go away or not but um,to see if it's actually going to go so well or not but,to:ok see:ok if:ok it's:ok actually:ok going:ok to:ok go:ok so:ins well:ins or:rep not:rep but:rep,23.1,26.3,80.0,66.7,72.7,away,0.5937,0.8846,0,1,1.000,3.961,4,Good,True,semantic_coherent,0.950,strong_structure_match,,Good Semantic + Correct Length,Other,13
5PzRyKoE-cA_0__fdef3c39_00_000000_000231,5PzRyKoE-cA_0__fdef3c39,and then basically ever since then i wanted to work for disney because i connect that with making people happy and wanting to,and basically ever since then i wanted to work for sixteen because i connected that with making people happy and wanting to,and:ok basically:rep ever:rep since:rep then:rep i:rep wanted:rep to:rep work:rep for:rep sixteen:ins because:rep i:rep connected:ins that:rep with:rep making:rep people:rep happy:rep and:rep wanting:rep to:rep,13.0,17.1,81.8,81.8,81.8,"connect, disney",0.6269,0.8913,0,1,0.957,4.196,5,Excellent,True,low_wer,1.000,near_perfect,,"Minor Errors, High Semantic Match",Technology,23
5RJU2GoOvoM_0__d181c4ad_00_000000_000086,5RJU2GoOvoM_0__d181c4ad,you've got to get back up again because we all fall we all fail,you've got to get back up again because we all fall we all fail,you've:ok got:ok to:ok get:ok back:ok up:ok again:ok because:ok we:ok all:ok fall:ok we:ok all:ok fail:ok,0.0,9.5,100.0,100.0,100.0,,1.0000,1.0000,0,0,1.000,4.929,5,Excellent,True,low_wer,1.000,near_perfect,,Near-Perfect Output,Other,14
5SU4QURSa84_20__7beda314_00_000000_000100,5SU4QURSa84_20__7beda314,and here's one of the key points it doesn't matter what the tradu,here's one of the key points it doesn't matter what the tradition,here's:rep one:rep of:rep the:rep key:rep points:rep it:rep doesn't:rep matter:rep what:rep the:rep tradition:ins,15.4,34.8,100.0,100.0,100.0,,0.2795,0.8846,0,1,0.923,3.640,4,Good,False,insufficient_signal,0.950,strong_structure_match,,Low-Moderate WER,Other,13
5Zu9MP16TdY_17__2e6af881_00_000000_000177,5Zu9MP16TdY_17__2e6af881,get our hands dirty we had to be separate and when you separate from the culture when the godly people get out,our hands we had to be separate and when you separate from the culture when the godly people get out,our:rep hands:rep we:rep had:rep to:rep be:rep separate:rep and:rep when:rep you:rep separate:rep from:rep the:rep culture:rep when:rep the:rep godly:rep people:rep get:rep out:rep,9.1,12.5,87.5,100.0,93.3,dirty,0.8475,0.9091,0,0,0.909,4.648,5,Excellent,True,low_wer,1.000,near_perfect,,Near-Perfect Output,Religion/Spirituality,22
5fBmM62oLzo_5__7fca9eb3_00_000000_000086,5fBmM62oLzo_5__7fca9eb3,6 7 and 8 1,in the science and technology sector what,in:ins the:ins science:ins and:rep technology:ins sector:ins what:ins,120.0,80.0,0.0,100.0,0.0,"1, 6, 7, 8, and",-0.0278,0.2000,0,0,1.400,0.750,1,Failed,False,hallucination,0.050,hallucination,Hallucination,,Other,5
5i6F27AIxRo_2__d582d468_00_000000_000314,5i6F27AIxRo_2__d582d468,see it as not just a toxic chemical in the environment like something like a heavy metal a plastic we all hear about bisphenol a but it could be any,i think it's really cool that you're,i:ins think:ins it's:ins really:ins cool:ins that:ins you're:ins,100.0,100.0,0.0,0.0,0.0,"bisphenol, chemical, environment, hear, heavy, just, metal, plastic, see, toxic",0.0377,0.0667,0,4,0.233,0.280,1,Failed,False,length_mismatch,0.100,length_mismatch,Truncation,,Other,30
5lmJElLsCBM_2__936ac82a_00_000000_000142,5lmJElLsCBM_2__936ac82a,to share inwardly his likeness that he might become the firstborn among many,to share equally his likeness that he might become the first born among me,to:ok share:ok equally:ins his:ok likeness:ok that:ok he:ok might:ok become:ok the:ok first:ins born:ins among:rep me:ins,30.8,31.6,50.0,50.0,50.0,"firstborn, inwardly, many",0.7534,0.8077,0,1,1.077,3.813,4,Good,True,semantic_coherent,0.950,strong_structure_match,,Phonetically Preserved,Politics/News,13
5mkJcxTK1sQ_6__b98995ef_00_000000_000254,5mkJcxTK1sQ_6__b98995ef,in various different compositions i'm not gonna talk about any other math for learning this kind of stuff from real world data but rest assured,comics and fairy tales and different compositions i'm not going to talk about any of the math involved in this kind of stuff from renaissance,comics:ins and:ins fairy:ins tales:ins and:ins different:rep compositions:rep i'm:rep not:rep going:ins to:ins talk:rep about:rep any:rep of:rep the:ins math:rep involved:ins in:rep this:rep kind:rep of:rep stuff:rep from:rep renaissance:ins,68.0,57.1,40.0,50.0,44.4,"assured, data, gon, learning, other, real, rest, various, world",0.5029,0.5600,0,2,1.000,2.804,3,Fair,True,semantic_coherent,0.800,semantic_plus_phonetic,Content Word Errors,,Technology,25
5mvz9XnwJWw_10__861de884_00_000000_000239,5mvz9XnwJWw_10__861de884,auto suggest box we're not implementing search i just want you to be able to successfully use the visual state manager to show and hide,i'm going to suggest please with the prime minister's association one you would have been able to a successful history of short term management to show,i'm:ins going:ins to:rep suggest:rep please:ins with:ins the:rep prime:ins minister's:ins association:ins one:ins you:rep would:ins have:ins been:ins able:rep to:rep a:ins successful:ins history:ins of:ins short:ins term:ins management:ins to:rep show:rep,92.0,78.0,20.0,23.1,21.4,"auto, box, hide, implementing, just, manager, search, state, successfully, use, visual, want",0.1547,0.3800,0,7,1.040,1.618,2,Poor,False,content_destroyed,0.300,marginal,Phonetically Similar but Wrong Topic,,Entertainment,25
5wfLlARYM10_0__022a77ae_00_000000_000161,5wfLlARYM10_0__022a77ae,but if you're here for the parent teacher conferences why don't you come up to our art hallway and check out the art show,if you're giving presents to your officemates where else are you going to come up to a co worker and say,if:rep you're:rep giving:ins presents:ins to:rep your:ins officemates:ins where:ins else:ins are:ins you:rep going:ins to:rep come:rep up:rep to:rep a:ins co:ins worker:ins and:rep say:ins,79.2,130.6,11.1,11.1,11.1,"art, check, conferences, hallway, here, parent, show, teacher",0.2148,0.3750,0,4,0.875,1.493,2,Poor,False,content_destroyed,0.300,marginal,High Error Rate,,Entertainment,24
5yxLH5fK5Vk_0__10fbcec3_00_000000_000084,5yxLH5fK5Vk_0__10fbcec3,because i was gonna be i was gonna be the next joe morgan,because i was going to be a lawyer someday,because:ok i:ok was:ok going:ins to:ins be:rep a:ins lawyer:ins someday:ins,69.2,83.3,0.0,100.0,0.0,"joe, morgan",0.5193,0.4615,1,2,0.692,1.985,2,Poor,False,content_destroyed,0.400,partial_overlap,Entity Destruction,,Other,13
64Hw17K0VPY_16__541360f0_00_000000_000121,64Hw17K0VPY_16__541360f0,your account where you will have to pay long term fee assessment,good account where you have to pay long term fees let's,good:ins account:ok where:ok you:ok have:rep to:rep pay:rep long:rep term:rep fees:ins let's:ins,33.3,31.6,71.4,62.5,66.7,"assessment, fee",0.7906,0.7500,0,2,0.917,3.926,4,Good,True,semantic_coherent,0.900,high_semantic_good_overlap,,Phonetically Preserved,Other,12
64cVzsNtPLg_5__01c3e051_00_000000_000149,64cVzsNtPLg_5__01c3e051,61 of americans admit to peeing in the shower i don't pee in the shower oh that's a lot,he wriggled out of my grip and made a beeline for the shower i couldn't be in the,he:ins wriggled:ins out:ins of:rep my:ins grip:ins and:ins made:ins a:rep beeline:ins for:ins the:rep shower:rep i:rep couldn't:ins be:ins in:rep the:rep,89.5,78.8,0.0,100.0,0.0,"61, americans",0.2640,0.4474,1,3,0.947,1.672,2,Poor,False,content_destroyed,0.300,marginal,Entity Destruction,,Entertainment,19
65N3qPp0q68_7__8c717027_00_000000_000136,65N3qPp0q68_7__8c717027,ooh that's rather like a drinking yoghurt,that's why they lie it's trickery,that's:rep why:ins they:ins lie:ins it's:ins trickery:ins,85.7,100.0,0.0,0.0,0.0,"drinking, rather, yoghurt",0.0896,0.2857,0,2,0.857,1.096,2,Poor,False,content_destroyed,0.100,no_semantic_no_overlap,Total Topic Drift,,Other,7
6684I6U9CUs_0__e150a130_00_000000_000142,6684I6U9CUs_0__e150a130,like people just come up to me and be like literally it feels so good if you guys wanna like,people just come up to me and be like hey little girl if you guys want to like come,people:rep just:rep come:rep up:rep to:rep me:rep and:rep be:rep like:rep hey:ins little:ins girl:ins if:rep you:rep guys:rep want:ins to:rep like:rep come:rep,45.0,48.3,44.4,57.1,50.0,"feels, good, literally, so, wanna",0.7059,0.7000,0,2,0.950,3.451,4,Good,True,semantic_coherent,0.900,high_semantic_good_overlap,,Good Semantic + Correct Length,Other,20
6LHeagRFF8c_5__1edae1ef_00_000000_000131,6LHeagRFF8c_5__1edae1ef,to go and of course attitudes to work have really changed as well,to go and of course kansas city we're looking for engineers as well one of the,to:ok go:ok and:ok of:ok course:ok kansas:ins city:ins we're:ins looking:ins for:ins engineers:ins as:ok well:ok one:ins of:rep the:ins,69.2,76.2,50.0,44.4,47.1,"attitudes, changed, really, work",0.1759,0.6538,0,3,1.231,2.089,3,Fair,False,content_destroyed,0.300,marginal,Phonetically Similar but Wrong Topic,,Education/Academic,13
